corpus_key,corpus_display_name,corpus_tier,corpus_unii,corpus_inchikey,gtopdb_ligand_id,gtopdb_name,gtopdb_inchikey,gtopdb_chembl_id,gtopdb_pubchem_cid,matched_on_source_name,normalised_name,ambiguous_pages_for_name,confirmation,interactions_pending
K3:CHEMBL3545248,DS-7423,1,,,12616,DS-7423,SOJJMSYMCLIQCZ-CYBMUJFWSA-N,,45378170,DS-7423,ds 7423,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,5
K3:CHEMBL3545134,LY-2780301,3,,,12617,GLXC-26326,YDFKZIGAUIKZGP-UHFFFAOYSA-N,,46186926,LY-2780301,ly 2780301,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:90YIEHRFJ9,Magrolimab,3,90YIEHRFJ9,,12652,magrolimab,,,,magrolimab,magrolimab,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
K1:8R5CM46UIO,Odronextamab,2,8R5CM46UIO,,12690,odronextamab,,,,odronextamab,odronextamab,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:06P3KLK2J8,Glofitamab,1,06P3KLK2J8,,12758,glofitamab,,,,glofitamab,glofitamab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:06P3KLK2J8#gxbm,Glofitamab-Gxbm,2,06P3KLK2J8,,12758,glofitamab,,,,glofitamab,glofitamab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:JA8K50N04H,MYRCLUDEX B,3,JA8K50N04H,,12775,bulevirtide,,,,bulevirtide,bulevirtide,3,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:LLM855Y3S3#gmod,Bulevirtide-Gmod,2,LLM855Y3S3,,12775,bulevirtide,,,,bulevirtide,bulevirtide,3,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:WKM56H3TLB,Bulevirtide,1,WKM56H3TLB,,12775,bulevirtide,,,,bulevirtide,bulevirtide,3,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:H9KH1GP3UU,Crovalimab,1,H9KH1GP3UU,,12790,crovalimab,,,,crovalimab,crovalimab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:H9KH1GP3UU#akkz,Crovalimab-Akkz,2,H9KH1GP3UU,,12790,crovalimab,,,,crovalimab,crovalimab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K2:UNRTVIQQMJRQLZ-UHFFFAOYSA-N,GNE 7883,3,,UNRTVIQQMJRQLZ-UHFFFAOYSA-N,12814,GNE-7883,OMGKSFJZXSXHCA-UHFFFAOYSA-N,CHEMBL5191316,164852436,GNE-7883,gne 7883,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,6
K1:784ELC1SCZ,Penoxsulam,3,784ELC1SCZ,SYJGKVOENHZYMQ-UHFFFAOYSA-N,12844,GRASP,,,,GRASP,grasp,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
