molecule_chembl_id,molecule_name,page_key,page_display_name,tier,confirmed_by_corpus_chembl_id
CHEMBL1743052,OPORTUZUMAB MONATOX,K1:945CY7ZMI2,Oportuzumab monatox,3,True
CHEMBL1743052,OPORTUZUMAB MONATOX,K3:CHEMBL2109260,H11 SCFV,3,False
CHEMBL1743062,RAMUCIRUMAB,K1:D99YVK4L0X,Ramucirumab,2,True
CHEMBL1743068,SECUKINUMAB,K1:DLG4EML025,Secukinumab,1,True
CHEMBL1743070,SILTUXIMAB,K1:T4H8FMA7IM,Siltuximab,1,True
CHEMBL1743071,SIRUKUMAB,K1:640443FU93,Sirukumab,3,True
CHEMBL1743073,SOTATERCEPT,K1:0QI90BTJ37,Sotatercept,2,True
CHEMBL1743073,SOTATERCEPT,K1:0QI90BTJ37#csrk,Sotatercept-Csrk,1,False
CHEMBL1743078,TEPLIZUMAB,K1:S4M959U2IJ,Teplizumab,1,True
CHEMBL1743078,TEPLIZUMAB,K1:S4M959U2IJ#mzwv,Teplizumab-Mzwv,2,False
CHEMBL1743079,TEPROTUMUMAB,K1:Y64GQ0KC0A,Teprotumumab,1,True
CHEMBL1743079,TEPROTUMUMAB,K1:Y64GQ0KC0A#trbw,Teprotumumab-Trbw,2,False
CHEMBL1743081,TRALOKINUMAB,K1:GK1LYB375A,Tralokinumab,1,True
CHEMBL1743082,TRASTUZUMAB EMTANSINE,K1:P188ANX8CK,Trastuzumab,1,False
CHEMBL1743082,TRASTUZUMAB EMTANSINE,K1:SE2KH7T06F,Trastuzumab emtansine,2,True
CHEMBL1743087,VEDOLIZUMAB,K1:9RV78Q2002,Vedolizumab,1,True
CHEMBL1743090,TECHNETIUM TC 99M ARCITUMOMAB,K1:029JF1SCU8,TECHNETIUM TC 99M ARCITUMOMAB,1,True
CHEMBL1743090,TECHNETIUM TC 99M ARCITUMOMAB,K1:79T6JRG308,Arcitumomab,2,False
CHEMBL1743091,INDIUM IN 111 SATUMOMAB PENDETIDE,K1:7V9926378A,Indium IN-111 Satumomab Pendetide,2,True
CHEMBL1743091,INDIUM IN 111 SATUMOMAB PENDETIDE,K1:J7IRE7H75D,Satumomab,3,False
CHEMBL1743757,VALOPICITABINE DIHYDROCHLORIDE,K1:I2T0B5G94M,Valopicitabine,3,True
CHEMBL1744033,BISMUTH SUBCITRATE,K1:HS813P8QPX,Bismuth Subcitrate,2,True
CHEMBL1746,SODIUM PHENYLBUTYRATE,K1:7WY7YBI87E,Phenylbutyric Acid,1,False
CHEMBL176049,RHODAMINE123,K1:05D072FS97,Rhodamine 123 Free Base,3,True
CHEMBL1761,PROCYCLIDINE HYDROCHLORIDE,K1:C6QE1Q1TKR,Procyclidine,2,True
CHEMBL1767407,DENUFOSOL TETRASODIUM,K1:5PC250KSSH,Denufosol,3,True
CHEMBL1767408,DIQUAFOSOL TETRASODIUM,K1:7828VC80FJ,Diquafosol,2,True
CHEMBL17879,MARALIXIBAT CHLORIDE,K1:UYB6UOF69L,Maralixibat,2,True
CHEMBL1788389,STIBOPHEN,K1:6CM08O30EH,STIBOPHEN,3,True
CHEMBL1788392,GLYCOBIARSOL,K1:E3U8347QWJ,Glycobiarsol,3,True
CHEMBL1788399,COPPER OLEINATE,K3:nan,COPPER OLEINATE,1,True
CHEMBL1789843,BELIMUMAB,K1:73B0K5S26A,Belimumab,2,True
CHEMBL1789844,IPILIMUMAB,K1:6T8C155666,Ipilimumab,2,True
CHEMBL1790075,Somatostatin Analogue,K1:7PBO3W74TY,TYR(3)-OCTREOTIDE I-123,3,True
CHEMBL1797128,METHYLMETHIONINE SULFONIUM CHLORIDE,K1:3485Y39925,S-Methylmethionine,3,False
CHEMBL1797128,METHYLMETHIONINE SULFONIUM CHLORIDE,K1:G9CUR2204U,METHYLMETHIONINE SULFONIUM CHLORIDE,3,True
CHEMBL1818442,AMITIFADINE HYDROCHLORIDE,K1:GE0J375F8F,Amitifadine,3,True
CHEMBL1822916,ECOPIPAM HYDROCHLORIDE,K1:0X748O646K,Ecopipam,3,True
CHEMBL1834657,INFIGRATINIB PHOSPHATE,K1:A4055ME1VK,Infigratinib,2,True
CHEMBL1837010,SODIUM GUALENATE,K1:GR01836V0K,Gualenic Acid,3,True
CHEMBL1863515,GLUCARPIDASE,K1:2GFP9BJD79,Glucarpidase,2,True
CHEMBL1885899,BENZODODECINIUM CHLORIDE,K1:N0BN0O8CSL,Benzododecinium Ion,3,True
CHEMBL1887891,DEXFENFLURAMINE HYDROCHLORIDE,K1:2DS058H2CF,Fenfluramine,1,False
