source_record,normalised_name,unii,inchikey,candidate_pages,candidate_count
frdb-compound:6859:MIBEFRADIL DIHYDROCHLORIDE,mibefradil,842TUP3PQ8,MTJLQTFHJIHXIX-GDUXWEAWSA-N,K1:27B90X776A,1
frdb-compound:6892:TEMAFLOXACIN HYDROCHLORIDE,temafloxacin,OC5IGJ7J6I,DDVJEYDLTXRYAJ-UHFFFAOYSA-N,K1:1WZ12GTT67,1
frdb-compound:6907:ZOMEPIRAC SODIUM,zomepirac,Y0185WZ209,ZJXLSCXDGPDZOL-UHFFFAOYSA-M,K1:822G987U9J,1
frdb-compound:7505:PENTETATE CALCIUM TRISODIUM,pentetate,G79YN26H5B,AYFCVLSUPGCQKD-UHFFFAOYSA-I,K1:7A314HQM0I,1
frdb-compound:7509:ACETONE,acetone,1364PS73AF,CSCPPACGZOOCGX-UHFFFAOYSA-N,K1:CU38ZXW8ZG,1
frdb-compound:7524:GLUCOSAMINE,glucosamine,N08U5BOQ1K,FZHXIRIBWMQPQF-SLPGGIOYSA-N,K2:MSWZFWKMSRAUBD-IVMDWMLBSA-N|K4:glucosamine,2
frdb-compound:7610:BISMUTH SODIUM TARTRATE,bismuth,GAP082Q6UF,YPQBHUDKOKUINZ-OLXYHTOASA-L,K1:62TEY51RR1|K1:A6I4E79QF1|K1:H19J064BA5|K1:U015TT5I8H,4
frdb-compound:7945:POTASSIUM AMINOSALICYLATE,potassiumaminosalicylate,7N21461LKD,PRZJIMSXCLZGLT-UHFFFAOYSA-M,K1:5B2658E0N2,1
frdb-compound:7958:CODEINE,codeine,Q830PW7520,WRRSFOZOETZUPG-FFHNEAJVSA-N,K1:UX6OWY2V7J,1
frdb-compound:7993:PIPERAZINE CITRATE,piperazine,63KP7FXF2I,CMNBASWUQKIYLL-UHFFFAOYSA-N,"COMBO:{K1:1RTM4PAL0V,K1:9G34HU7RV0}|K1:1RTM4PAL0V",2
frdb-compound:8141:GV 150526A,gv150526a,80W7787JVB,GRSDSTMFQHAESM-UHDJGPCESA-M,K1:318X4QY113,1
frdb-compound:8150:PHENSERINE TARTRATE,phenserine,A2TJL9CO2K,XKKPTCVQEJZDGT-PWUAAHBCSA-N,K1:SUE285UG3S|K1:Z0O4TJ588O,2
frdb-compound:8287:TOFOGLIFLOZIN,tofogliflozin,P8DD8KX4O4,ZXOCGDDVNPDRIW-NHFZGCSJSA-N,K1:554245W62T,1
frdb-compound:8296:BANOXANTRONE,banoxantrone,,,K1:W5H7E45YT3,1
frdb-compound:8463:BL-8040,bl8040,,,K1:3ZPX60DV8A|K2:JJVZSYKFCOBILL-DPNRMINZSA-N,2
frdb-compound:8712:ISTAROXIME,istaroxime,W8I9H2TPPL,,K2:MPYLDWFDPHRTEG-IFVNMTGRSA-N,1
frdb-compound:8784:MERICITABINE,mericitabine,05J68784G1,NYPIRLYMDJMKGW-VPCXQMTMSA-N,K1:TA63JX8X52,1
frdb-compound:9678:METHYLPARABEN SODIUM,methylparaben,CR6K9C2NHK,PESXGULMKCKJCC-UHFFFAOYSA-M,K1:A2I8C7HI9T,1
