schedule_code,item_number,primary_name,substance,reason
MDA-Sch1-Part1-ClassA,8,Naphthalen-1-yl(1-pentyl-5-phenyl-1H-pyrrol-3-yl)methanone,Naphthalen-1-yl(1-pentyl-5-phenyl-1H-pyrrol-3-yl)methanone (also known as JWH-145),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,9,Naphthalen-1-yl(1-pentyl-1H-pyrrol-3-yl)methanone,Naphthalen-1-yl(1-pentyl-1H-pyrrol-3-yl)methanone (also known as JWH-030),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,1,E-1-[1-(1-Naphthalenylmethylene)-1H-inden-3-yl]pentane,E-1-[1-(1-Naphthalenylmethylene)-1H-inden-3-yl]pentane (also known as JWH-176),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,1,2-[5-Hydroxy-2-(3-hydroxypropyl)cyclohexyl]-5-(2-methyloctan-2-yl)phenol,"2-[5-Hydroxy-2-(3-hydroxypropyl)cyclohexyl]-5-(2-methyloctan-2-yl)phenol (also known as CP55,940)",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,2,2-(3-Hydroxycyclohexyl)-5-(2-methyloctan-2-yl)phenol,"2-(3-Hydroxycyclohexyl)-5-(2-methyloctan-2-yl)phenol (also known as CP47,497)",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,1,"1-(1,3-Benzodioxol-5-yl)-2-(benzylamino)propan-1-one","1-(1,3-Benzodioxol-5-yl)-2-(benzylamino)propan-1-one (also known as 3,4-Methylenedioxy-N-benzylcathinone or BMDP)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,1AAAA,"1-(1,3-Benzodioxol-5-yl)-2-(butylamino)butan-1-one","1-(1,3-Benzodioxol-5-yl)-2-(butylamino)butan-1-one (also known as N-butylbutylone)",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,1AAA,"1-(1,3-Benzodioxol-5-yl)-2-(cyclohexylamino)propan-1-one","1-(1,3-Benzodioxol-5-yl)-2-(cyclohexylamino)propan-1-one (also known as 3,4-methylenedioxy-N-cyclohexylcathinone or 3,4-methylenedioxy-α-cyclohexylaminopropiophenone or N-cyclohexylmethylone or Cyputylone)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,1AA,"1-(1,3-Benzodioxol-5-yl)-2-(dimethylamino)-1-butanone","1-(1,3-Benzodioxol-5-yl)-2-(dimethylamino)-1-butanone (also known as Dibutylone or bk-DMBDB)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,1A,"1-(1,3-Benzodioxol-5-yl)-2-(dimethylamino)-1-propanone","1-(1,3-Benzodioxol-5-yl)-2-(dimethylamino)-1-propanone (also known as bk-MDDMA)",resolved to a UNII that no corpus page holds
