page_a,page_b,width,jaccard,indexable_a,indexable_b,set_a,set_b
target/glr,target/glucagon-receptor,390,0.5917,false,false,hub,hub
target/arachidonate-5-lipoxygenase-arachidonate-5-lipoxygenase,target/human-immunodeficiency-virus-type-1-protease,390,0.5916,false,false,hub,hub
target/nitric-oxide-synthase-inducible,target/sstr3,390,0.5912,false,false,hub,hub
target/aoc3,target/serine-threonine-protein-kinase-aurora-c,390,0.5909,false,false,hub,hub
target/arachidonate-5-lipoxygenase-arachidonate-5-lipoxygenase,target/mycobacterium-tuberculosis-h37rv,390,0.5908,false,false,hub,hub
target/integrin-alpha-iib-beta-3,target/serotonin-7-receptor,390,0.5908,false,false,hub,hub
target/adrenergic-receptor-alpha-2,target/folh1,390,0.5906,false,false,hub,hub
target/folh1,target/smooth-muscle-contraction,390,0.5906,false,false,hub,hub
target/angiogenesis,target/sulfonylurea-receptors-k-atp-channels,390,0.5905,false,false,hub,hub
target/hmdh,target/vitamin-d-receptor,390,0.5902,false,false,hub,hub
target/arachidonate-5-lipoxygenase-arachidonate-5-lipoxygenase,target/kir2-3,390,0.5901,false,false,hub,hub
target/serotonin-3-receptor,target/serotonin-3-receptor-chembl2111332,390,0.59,false,false,hub,hub
target/aoc3,target/folh1,390,0.5899,false,false,hub,hub
target/sulfonylurea-receptors-k-atp-channels,target/thiazide-sensitive-sodium-chloride-cotransporter,390,0.5899,false,false,hub,hub
target/sstr3,target/tspo,390,0.5892,false,false,hub,hub
target/hmdh,target/tpa,390,0.5886,false,false,hub,hub
target/m5-receptor,target/mmp13-mmp13,390,0.5886,false,false,hub,hub
target/m5-receptor,target/trpc4,390,0.5886,false,false,hub,hub
target/cysteinyl-leukotriene-receptor-1,target/nitric-oxide-synthase-inducible,390,0.5884,false,false,hub,hub
target/arachidonate-5-lipoxygenase-arachidonate-5-lipoxygenase,target/vitamin-d-receptor,390,0.5882,false,false,hub,hub
target/kir2-3,target/p2y2-receptor,390,0.5882,false,false,hub,hub
target/human-immunodeficiency-virus-type-1-protease,target/serotonin-7-receptor,390,0.588,false,false,hub,hub
target/kca2-2,target/serine-threonine-protein-kinase-aurora-c,390,0.588,false,false,hub,hub
target/human-immunodeficiency-virus-type-1-protease,target/serotonin-3-receptor-chembl2111332,390,0.5879,false,false,hub,hub
target/catechol-o-methyltransferase,target/cysteinyl-leukotriene-receptor-1,390,0.5877,false,false,hub,hub
target/alpha-2a-adrenergic-receptor-alpha-2a-adrenergic-receptor,target/sulfonylurea-receptors-k-atp-channels,390,0.5872,false,false,hub,hub
target/integrin-alpha-iib-beta-3,target/serotonin-3-receptor-chembl2111332,390,0.5872,false,false,hub,hub
target/monoamine-oxidase-a,target/serotonin-3-receptor,390,0.5869,false,false,hub,hub
target/pgrc1,target/thiazide-sensitive-sodium-chloride-cotransporter,390,0.5868,false,false,hub,hub
target/at1-receptor,target/serine-threonine-protein-kinase-aurora-c,390,0.5867,false,false,hub,hub
target/catechol-o-methyltransferase,target/nitric-oxide-synthase-inducible,390,0.5867,false,false,hub,hub
target/chle,target/q9z1j7,390,0.5867,false,false,hub,hub
target/arachidonate-5-lipoxygenase-arachidonate-5-lipoxygenase,target/aryl-hydrocarbon-receptor-aryl-hydrocarbon-receptor,390,0.5866,false,false,hub,hub
target/integrin-alpha-iib-beta-3,target/nitric-oxide-synthase-inducible,390,0.5865,false,false,hub,hub
target/cyp11b1,target/kir2-3,390,0.5864,false,false,hub,hub
target/alpha-2b-adrenergic-receptor,target/vrac,390,0.5863,false,false,hub,hub
target/arachidonate-5-lipoxygenase-arachidonate-5-lipoxygenase,target/tspo,390,0.5863,false,false,hub,hub
target/alpha-2b-adrenergic-receptor,target/aryl-hydrocarbon-receptor,390,0.5861,false,false,hub,hub
target/angiogenesis,target/asic3,390,0.5861,false,false,hub,hub
target/catechol-o-methyltransferase,target/integrin-alpha-iib-beta-3,390,0.5859,false,false,hub,hub
target/aoxa,target/estrogen-receptor-estrogen-receptor-esr1-human,390,0.5858,false,false,hub,hub
target/monoamine-oxidase-a,target/neprilysin,390,0.5857,false,false,hub,hub
target/dopamine-beta-hydroxylase,target/hepatitis-c-virus,390,0.5856,false,false,hub,hub
target/alpha-2a-adrenergic-receptor-alpha-2a-adrenergic-receptor,target/beta-amyloid-a4-protein,390,0.5855,false,false,hub,hub
target/arachidonate-5-lipoxygenase-arachidonate-5-lipoxygenase,target/serotonin-7-receptor,390,0.5855,false,false,hub,hub
target/comt,target/pncb,390,0.585,false,false,hub,hub
target/hepatitis-b-virus,target/vrac,390,0.585,false,false,hub,hub
target/cysteinyl-leukotriene-receptor-1,target/human-immunodeficiency-virus-type-1-protease,390,0.5848,false,false,hub,hub
target/alpha-2a-adrenergic-receptor-alpha-2a-adrenergic-receptor,target/arachidonate-5-lipoxygenase-arachidonate-5-lipoxygenase,390,0.5847,false,false,hub,hub
target/hmdh,target/ren,390,0.5846,false,false,hub,hub
target/ren,target/thiazide-sensitive-sodium-chloride-cotransporter,390,0.5846,false,false,hub,hub
target/angiogenesis,target/pncb,390,0.5843,false,false,hub,hub
target/amine-oxidase-flavin-containing-a,target/serotonin-3-receptor,390,0.5841,false,false,hub,hub
target/arachidonate-5-lipoxygenase-arachidonate-5-lipoxygenase,target/catechol-o-methyltransferase,390,0.5841,false,false,hub,hub
target/gsk3a,target/type-1-angiotensin-ii-receptor-type-1-angiotensin-ii-receptor,390,0.5841,false,false,hub,hub
target/catechol-o-methyltransferase,target/serotonin-3-receptor-chembl2111332,390,0.5839,false,false,hub,hub
target/nitric-oxide-synthase-inducible,target/prostaglandin-biosynthetic-process,390,0.5839,false,false,hub,hub
target/alpha-1a-adrenergic-receptor,target/gsk3a,390,0.5837,false,false,hub,hub
target/alpha-2a-adrenergic-receptor-alpha-2a-adrenergic-receptor,target/nitric-oxide-synthase-inducible,390,0.5837,false,false,hub,hub
target/kir2-3,target/tspo,390,0.5837,false,false,hub,hub
target/neprilysin,target/serotonin-3-receptor,390,0.5833,false,false,hub,hub
target/pregnane-x-receptor,target/serotonin-3-receptor-chembl2111332,390,0.5833,false,false,hub,hub
target/alpha-2b-adrenergic-receptor,target/amine-oxidase-flavin-containing-a,390,0.5832,false,false,hub,hub
target/chk1,target/serine-threonine-protein-kinase-chk1,390,0.5823,false,false,hub,hub
target/asic3,target/hmdh,390,0.5821,false,false,hub,hub
target/sstr3,target/vrac,390,0.5821,false,false,hub,hub
target/arachidonate-5-lipoxygenase-arachidonate-5-lipoxygenase,target/serotonin-3-receptor-chembl2111332,390,0.5819,false,false,hub,hub
target/beta-1-adrenergic-receptor-beta-1-adrenergic-receptor,target/gsk3a,390,0.5816,false,false,hub,hub
target/angiogenesis,target/clk1,390,0.5813,false,false,hub,hub
target/aryl-hydrocarbon-receptor,target/hepatitis-b-virus,390,0.5813,false,false,hub,hub
target/beta-amyloid-a4-protein,target/streptococcus-pneumoniae,390,0.5813,false,false,hub,hub
target/comt,target/kcnk2,390,0.5813,false,false,hub,hub
target/prostaglandin-biosynthetic-process,target/serotonin-3-receptor-chembl2111332,390,0.5812,false,false,hub,hub
target/hmdh,target/tspo,390,0.5811,false,false,hub,hub
