ethylhexyl	APPROVED_MEDICINE	FDA Approved	Small Molecule
shrimp	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
pyrimethamine	APPROVED_MEDICINE	FDA Approved	Small Molecule
lactitol	APPROVED_MEDICINE	FDA Approved	Small Molecule
hydroxypropyl-distarch-phosphate	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
quercus-acutissima-whole	OFF_LABEL_OR_COMPOUNDED	Off-Label / Compounded	Nutraceutical / Botanical
lanthanum	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
quercus-alba-whole	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
mebutamate	APPROVED_MEDICINE	FDA Approved	Small Molecule
thymoquinone	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
calcium-sulfate-unspecified-form	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
ustekinumab-kfce	APPROVED_BIOLOGIC	FDA Approved	Recombinant Protein / Biologic
quinapril	APPROVED_MEDICINE	FDA Approved	Small Molecule
maca	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
ligandrol	INVESTIGATIONAL_MEDICINE	Phase 2 Investigational	Small Molecule
monounsaturated-fatty-acid	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
human-immunoglobulin-g	INVESTIGATIONAL_MEDICINE	Pre-clinical / Open Source	Recombinant Protein / Biologic
radium-ra-223-dichloride	APPROVED_MEDICINE	FDA Approved	Small Molecule
aspergillus-fumigatus	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
tylophora-indica-leaf	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
regadenoson	APPROVED_MEDICINE	FDA Approved	Small Molecule
lutrelin	MARKETED_PRODUCT_INGREDIENT	Non-FDA / Dietary Supplement	Peptide / GLP-1 Agonist
solanum-anguivi	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
raltegravir	APPROVED_MEDICINE	FDA Approved	Small Molecule
erucic-acid	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
lysophosphatidylcholine	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
juniperus-sabina-leafy-twig	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
ranitidine	WITHDRAWN_MEDICINE	Withdrawn from Market	Small Molecule
cordycepic-acid	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
rasagiline	APPROVED_MEDICINE	FDA Approved	Small Molecule
american-liverleaf	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
anamarrhena	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
relatlimab-rmbw	APPROVED_BIOLOGIC	FDA Approved	Recombinant Protein / Biologic
rezafungin	APPROVED_MEDICINE	FDA Approved	Small Molecule
neisseria-meningitidis-group-a-capsular-polysaccharide-antigen	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
sus-scrofa-meniscus	MARKETED_PRODUCT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
ticlopidine	APPROVED_MEDICINE	FDA Approved	Small Molecule
buckthorn	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
eschscholzia-californica-flowering-top	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
regorafenib	APPROVED_MEDICINE	FDA Approved	Small Molecule
rhododendron-tomentosum-leafy-twig	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
octanol	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
atidarsagene-autotemcel	INVESTIGATIONAL_MEDICINE	Pre-clinical / Open Source	CRISPR / Gene Therapy
garden-snail-mucin	MARKETED_PRODUCT_INGREDIENT	FDA Approved	Small Molecule
mangifera-indica-leaf	OFF_LABEL_OR_COMPOUNDED	Off-Label / Compounded	Nutraceutical / Botanical
buckwheat	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
repository-corticotropin	APPROVED_MEDICINE	FDA Approved	Small Molecule
solanum-indicum	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
romidepsin	APPROVED_MEDICINE	FDA Approved	Small Molecule
tilia-x-europaea-flower	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
buglossoides-arvensis	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
fadogia-agrestis	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
mushrooms	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
remimazolam	APPROVED_MEDICINE	FDA Approved	Small Molecule
rhodocactus-grandifolius-whole	MARKETED_PRODUCT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
coltsfoot	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
repaglinide	APPROVED_MEDICINE	FDA Approved	Small Molecule
reslizumab	APPROVED_BIOLOGIC	FDA Approved	Monoclonal Antibody (mAb)
magnesium-nitrite	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
pazopanib	APPROVED_MEDICINE	FDA Approved	Small Molecule
rheum-officinale-root	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
risedronate	APPROVED_MEDICINE	FDA Approved	Small Molecule
retifanlimab-dlwr	APPROVED_BIOLOGIC	FDA Approved	Recombinant Protein / Biologic
rabies-virus	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
calendula-officinalis-flowering-top	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
crataegus-oxyacantha-leaf	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
pseudostellaria	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
methenamine-mandelate	OFF_LABEL_OR_COMPOUNDED	Off-Label / Compounded	Small Molecule
benoxinate	APPROVED_MEDICINE	FDA Approved	Small Molecule
magnesium-carbonate-hydroxide	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
titanium-oxysulfate	MARKETED_PRODUCT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
