key,tier,displayName,kind,unii,corpus_inchikey,pubchem_cid_for_unii,pubchem_inchikey_for_unii,skeletons_match
K1:7NFE54O27T,2,Toremifene,unii-record-is-a-different-substance,2498Y783QT,XFCLJVABOIYOMF-QPLCGJKRSA-N,3005572,IWEQQRMGNVVKQW-OQKDUQJOSA-N,False
K1:7NJ031HAX5,2,Morantel,unii-record-is-a-different-substance,5WF7E9QC3F,NVEPPWDVLBMNMB-SNAWJCMRSA-N,6433951,GGXQONWGCAQGNA-UUSVNAAPSA-N,False
K1:7PG89G35Q7,1,Icatibant,unii-record-is-a-different-substance,325O8467XK,QURWXBZNHXJZBE-SKXRKSCCSA-N,6918172,HKMZRZUEADSZDQ-DZJWSCHMSA-N,False
K1:7QVV6I50DT,1,Alatrofloxacin,unii-record-differs-no-exact-structure,2IXX802851,UUZPPAMZDFLUHD-VUJLHGSVSA-N,5282517,CYETUYYEVKNSHZ-RSUMCGCKSA-N,False
K1:7QZW6V0L1F,3,Oxitefonium,unii-record-is-a-different-substance,75L83V3XCF,RJXJTISGMQDIAQ-UHFFFAOYSA-N,71891,QTBFZNSOXHKZOD-UHFFFAOYSA-M,False
K1:7RN5DR86CK,2,Pazopanib,unii-record-is-a-different-substance,33Y9ANM545,CUIHSIWYWATEQL-UHFFFAOYSA-N,11525740,MQHIQUBXFFAOMK-UHFFFAOYSA-N,False
K1:7U1EE4V452,2,Carbon Monoxide,unii-record-is-a-different-substance,6WQ62TAQ6Z,UGFAIRIUMAVXCW-UHFFFAOYSA-N,26040,FYOFOKCECDGJBF-UHFFFAOYSA-N,False
K1:7U75I1278D,1,Cefoperazone,unii-record-is-a-different-substance,5FQG9774WD,GCFBRXLSHGKWDP-XCGNWRKASA-N,23663974,NCFTXMQPRQZFMZ-WERGMSTESA-M,False
K1:7V2F1075HD,3,Hypericin,unii-record-differs-no-exact-structure,7V2F1075HD,BTXNYTINYBABQR-UHFFFAOYSA-N,3663,YDOIFHVUBCIUHF-UHFFFAOYSA-N,False
K1:7V4A8U16MB,2,Remimazolam,unii-record-is-a-different-substance,280XQ6482H,CYHWMBVXXDIZNZ-KRWDZBQOSA-N,23658607,QMTKNJZIWGTNTE-LMOVPXPDSA-N,False
K1:7W2581Z5L8,2,Samidorphan,unii-record-is-a-different-substance,0AJQ5N56E0,RYIDHLJADOKWFM-MAODMQOUSA-N,53362094,RARHXUAUPNYAJF-QSYGGRRVSA-N,False
K1:7WFB66H4LB,3,N-METHYL-D-GLUCAMINE Dithiocarbamate,unii-record-is-a-different-substance,3JWCT8LCME,IBVJFULICYLKCE-BDVNFPICSA-N,23692466,PLQRBFAACWRSKF-LJTMIZJLSA-M,False
K1:7WI4P02YN1,2,Profenamine,unii-record-is-a-different-substance,O00T1I1VRN,CDOZDBSBBXSXLB-UHFFFAOYSA-N,122824,VXPCQISYVPFYRK-UHFFFAOYSA-N,False
