page_a,page_b,rule,action,evidence
"COMBO:{IK:BRLQWZUYTZBJKN-UHFFFAOYSA-N,K1:506T60A25R}",K1:3OWL53L36A,EXCEPTION-COMBINATION,keep_separate,"{""a"":""GLUSOFERRON"",""b"":""Cordycepic Acid"",""origin"":""suspected-structural:FBPFZTCFMRRESA"",""reason"":""GLUSOFERRON is a combination product and Cordycepic Acid is a single substance; \u00a73.7 keeps a combination record separate from its components.""}"
K1:UVL329170W,K2:DCSUBABJRXZOMT-UHFFFAOYSA-N,R3-SAME-SKELETON,form_of,"{""a"":""Cisapride"",""b"":""Cisapride"",""inchikey_a"":""DCSUBABJRXZOMT-IRLDBZIGSA-N"",""inchikey_b"":""DCSUBABJRXZOMT-UHFFFAOYSA-N"",""note"":""Cisapride (UNII UVL329170W) carries defined stereochemistry; Cisapride (structure DCSUBABJRXZOMT-UHFFFAOYSA-N) is recorded without it."",""origin"":""suspected-structural:DCSUBABJRXZOMT"",""relation"":""stereoisomer_of"",""skeleton"":""DCSUBABJRXZOMT""}"
HOLD:existing:cisapride,K1:UVL329170W,R1-IDENTICAL-UNII,merge,"{""a"":""Cisapride"",""b"":""Cisapride"",""origin"":""suspected-structural:DCSUBABJRXZOMT"",""survivor"":""K1:UVL329170W"",""unii"":""UVL329170W"",""unii_source_a"":""page-field"",""unii_source_b"":""page-key""}"
K1:9512UKZ352,K2:XZEUAXYWNKYKPL-UHFFFAOYSA-N,R3-SAME-SKELETON,form_of,"{""a"":""Levormeloxifene"",""b"":""Ormeloxifene"",""inchikey_a"":""XZEUAXYWNKYKPL-WDYNHAJCSA-N"",""inchikey_b"":""XZEUAXYWNKYKPL-UHFFFAOYSA-N"",""note"":""Levormeloxifene carries defined stereochemistry; Ormeloxifene is recorded without it."",""origin"":""suspected-structural:XZEUAXYWNKYKPL"",""relation"":""stereoisomer_of"",""skeleton"":""XZEUAXYWNKYKPL""}"
K1:LK279ER14X,K2:BMLIIPOXVWESJG-CMIZNHKFSA-N,R3-SAME-SKELETON,form_of,"{""a"":""Silicristin"",""b"":""Silicristin"",""inchikey_a"":""BMLIIPOXVWESJG-LMBCONBSSA-N"",""inchikey_b"":""BMLIIPOXVWESJG-CMIZNHKFSA-N"",""note"":""Silicristin (structure BMLIIPOXVWESJG-CMIZNHKFSA-N) and Silicristin (UNII LK279ER14X) share the connectivity skeleton BMLIIPOXVWESJG and differ in the recorded stereochemistry."",""origin"":""suspected-structural:BMLIIPOXVWESJG"",""relation"":""stereoisomer_of"",""skeleton"":""BMLIIPOXVWESJG""}"
K1:3ZPX60DV8A,K2:JJVZSYKFCOBILL-DPNRMINZSA-N,EXCEPTION-ESTER,keep_separate,"{""a"":""Motixafortide Acetate"",""b"":""Motixafortide"",""origin"":""suspected-structural:JJVZSYKFCOBILL"",""reason"":""Motixafortide Acetate is a covalent ester of Motixafortide; \u00a73.2 keeps an ester on its own page.""}"
K1:2N4O9L084N,K2:GECBBEABIDMGGL-UHFFFAOYSA-N,R3-SAME-SKELETON,form_of,"{""a"":""Nabilone"",""b"":""Nabilone"",""inchikey_a"":""GECBBEABIDMGGL-RTBURBONSA-N"",""inchikey_b"":""GECBBEABIDMGGL-UHFFFAOYSA-N"",""note"":""Nabilone (UNII 2N4O9L084N) carries defined stereochemistry; Nabilone (UNII 2N4O9L084N) is recorded without it."",""origin"":""suspected-structural:GECBBEABIDMGGL"",""relation"":""stereoisomer_of"",""skeleton"":""GECBBEABIDMGGL""}"
K1:B1F50160Z2,K2:KWMLJOLKUYYJFJ-GASJEMHNSA-N,R3-SAME-SKELETON,form_of,"{""a"":""Glucoheptonic Acid"",""b"":""Calcium glucoheptonate"",""inchikey_a"":""KWMLJOLKUYYJFJ-VFUOTHLCSA-N"",""inchikey_b"":""KWMLJOLKUYYJFJ-GASJEMHNSA-N"",""note"":""Calcium glucoheptonate and Glucoheptonic Acid share the connectivity skeleton KWMLJOLKUYYJFJ and differ in the recorded stereochemistry."",""origin"":""suspected-structural:KWMLJOLKUYYJFJ"",""relation"":""stereoisomer_of"",""skeleton"":""KWMLJOLKUYYJFJ""}"
K1:CK833KGX7E,K1:R87US8P740,R3-SAME-SKELETON,form_of,"{""a"":""Amfetamine"",""b"":""Levamfetamine"",""inchikey_a"":""KWTSXDURSIMDCE-UHFFFAOYSA-N"",""inchikey_b"":""KWTSXDURSIMDCE-MRVPVSSYSA-N"",""note"":""Levamfetamine carries defined stereochemistry; Amfetamine is recorded without it."",""origin"":""suspected-structural:KWTSXDURSIMDCE"",""relation"":""stereoisomer_of"",""skeleton"":""KWTSXDURSIMDCE""}"
K1:R87US8P740,K1:TZ47U051FI,R3-SAME-SKELETON,form_of,"{""a"":""Levamfetamine"",""b"":""Dexamfetamine"",""inchikey_a"":""KWTSXDURSIMDCE-MRVPVSSYSA-N"",""inchikey_b"":""KWTSXDURSIMDCE-QMMMGPOBSA-N"",""note"":""Dexamfetamine is the (S)-enantiomer of Levamfetamine, the (R)-enantiomer."",""origin"":""suspected-structural:KWTSXDURSIMDCE"",""relation"":""stereoisomer_of"",""skeleton"":""KWTSXDURSIMDCE""}"
HOLD:existing:dextroamphetamine-saccharate,K1:R87US8P740,R3-SAME-SKELETON,form_of,"{""a"":""Dextroamphetamine Saccharate"",""b"":""Levamfetamine"",""inchikey_a"":""KWTSXDURSIMDCE-QMMMGPOBSA-N"",""inchikey_b"":""KWTSXDURSIMDCE-MRVPVSSYSA-N"",""note"":""Dextroamphetamine Saccharate is the (S)-enantiomer of Levamfetamine, the (R)-enantiomer."",""origin"":""suspected-structural:KWTSXDURSIMDCE"",""relation"":""stereoisomer_of"",""skeleton"":""KWTSXDURSIMDCE""}"
K1:DX1U2629QE,K2:ACTRVOBWPAIOHC-UHFFFAOYSA-N,R3-SAME-SKELETON,form_of,"{""a"":""Succimer"",""b"":""CHEMBL28721"",""inchikey_a"":""ACTRVOBWPAIOHC-XIXRPRMCSA-N"",""inchikey_b"":""ACTRVOBWPAIOHC-UHFFFAOYSA-N"",""note"":""Succimer carries defined stereochemistry; CHEMBL28721 is recorded without it."",""origin"":""suspected-structural:ACTRVOBWPAIOHC"",""relation"":""stereoisomer_of"",""skeleton"":""ACTRVOBWPAIOHC""}"
K1:H6CM4TWH1W,K2:GRWFGVWFFZKLTI-UHFFFAOYSA-N,R3-SAME-SKELETON,form_of,"{""a"":""Alpha-Pinene"",""b"":""ALPHA-PINENE"",""inchikey_a"":""GRWFGVWFFZKLTI-RKDXNWHRSA-N"",""inchikey_b"":""GRWFGVWFFZKLTI-UHFFFAOYSA-N"",""note"":""Alpha-Pinene (UNII H6CM4TWH1W) carries defined stereochemistry; ALPHA-PINENE (UNII H6CM4TWH1W) is recorded without it."",""origin"":""suspected-structural:GRWFGVWFFZKLTI"",""relation"":""stereoisomer_of"",""skeleton"":""GRWFGVWFFZKLTI""}"
K1:0NG5TTM63P,K2:TVYLLZQTGLZFBW-UHFFFAOYSA-N,R3-SAME-SKELETON,form_of,"{""a"":""Tramadol"",""b"":""Tramadol"",""inchikey_a"":""TVYLLZQTGLZFBW-ZBFHGGJFSA-N"",""inchikey_b"":""TVYLLZQTGLZFBW-UHFFFAOYSA-N"",""note"":""Tramadol (UNII 0NG5TTM63P) carries defined stereochemistry; Tramadol (structure TVYLLZQTGLZFBW-UHFFFAOYSA-N) is recorded without it."",""origin"":""suspected-structural:TVYLLZQTGLZFBW"",""relation"":""stereoisomer_of"",""skeleton"":""TVYLLZQTGLZFBW""}"
K1:WZG3J2MCOL,K2:MFWNKCLOYSRHCJ-UHFFFAOYSA-N,R3-SAME-SKELETON,form_of,"{""a"":""Granisetron"",""b"":""Granisetron"",""inchikey_a"":""MFWNKCLOYSRHCJ-BTTYYORXSA-N"",""inchikey_b"":""MFWNKCLOYSRHCJ-UHFFFAOYSA-N"",""note"":""Granisetron (UNII WZG3J2MCOL) carries defined stereochemistry; Granisetron (structure MFWNKCLOYSRHCJ-UHFFFAOYSA-N) is recorded without it."",""origin"":""suspected-structural:MFWNKCLOYSRHCJ"",""relation"":""stereoisomer_of"",""skeleton"":""MFWNKCLOYSRHCJ""}"
K1:HYD2U48IAS,K2:YWGDOWXRIALTES-UHFFFAOYSA-N,R3-SAME-SKELETON,form_of,"{""a"":""Bepotastine"",""b"":""CHEMBL4877190"",""inchikey_a"":""YWGDOWXRIALTES-NRFANRHFSA-N"",""inchikey_b"":""YWGDOWXRIALTES-UHFFFAOYSA-N"",""note"":""Bepotastine carries defined stereochemistry; CHEMBL4877190 is recorded without it."",""origin"":""suspected-structural:YWGDOWXRIALTES"",""relation"":""stereoisomer_of"",""skeleton"":""YWGDOWXRIALTES""}"
