page_a,page_b,width,jaccard,indexable_a,indexable_b
celastrus,tribulus-alatus,390,0.9647,false,false
celastrus,white-fig,390,0.9647,false,false
celrodendrum-indicum,cyanostane,390,0.9647,false,false
celrodendrum-indicum,dragonhead,390,0.9647,false,false
celrodendrum-indicum,jaboticaba,390,0.9647,false,false
celrodendrum-indicum,lactalbumin,390,0.9647,false,false
celrodendrum-indicum,lucuma,390,0.9647,false,false
celrodendrum-indicum,magnolia,390,0.9647,false,false
celrodendrum-indicum,melia,390,0.9647,false,false
celrodendrum-indicum,melitidine,390,0.9647,false,false
celrodendrum-indicum,mycozyme,390,0.9647,false,false
celrodendrum-indicum,noni,390,0.9647,false,false
celrodendrum-indicum,notopterygium,390,0.9647,false,false
celrodendrum-indicum,phaseolamin,390,0.9647,false,false
celrodendrum-indicum,tejocote,390,0.9647,false,false
celrodendrum-indicum,turmerones,390,0.9647,false,false
celrodendrum-indicum,vervain,390,0.9647,false,false
corn-protein,cyanostane,390,0.9647,false,false
corn-protein,dragonhead,390,0.9647,false,false
corn-protein,jaboticaba,390,0.9647,false,false
corn-protein,lactalbumin,390,0.9647,false,false
corn-protein,lucuma,390,0.9647,false,false
corn-protein,magnolia,390,0.9647,false,false
corn-protein,melia,390,0.9647,false,false
corn-protein,melitidine,390,0.9647,false,false
corn-protein,mycozyme,390,0.9647,false,false
corn-protein,noni,390,0.9647,false,false
corn-protein,notopterygium,390,0.9647,false,false
corn-protein,phaseolamin,390,0.9647,false,false
corn-protein,tejocote,390,0.9647,false,false
corn-protein,turmerones,390,0.9647,false,false
corn-protein,vervain,390,0.9647,false,false
cyanostane,date-palm,390,0.9647,false,false
cyanostane,glutathione-peroxidase,390,0.9647,false,false
cyanostane,honduran-sarsaparilla,390,0.9647,false,false
cyanostane,magic-fruit,390,0.9647,false,false
cyanostane,mountain-cranberry,390,0.9647,false,false
cyanostane,paenibacillus-polymyxa,390,0.9647,false,false
cyanostane,phellinus-linteus,390,0.9647,false,false
cyanostane,piper-kadsura,390,0.9647,false,false
cyanostane,scurfy-pea,390,0.9647,false,false
cyanostane,tea-polyphenol,390,0.9647,false,false
cyanostane,tribulus-alatus,390,0.9647,false,false
cyanostane,white-fig,390,0.9647,false,false
date-palm,dragonhead,390,0.9647,false,false
date-palm,jaboticaba,390,0.9647,false,false
date-palm,lactalbumin,390,0.9647,false,false
date-palm,lucuma,390,0.9647,false,false
