key,tier,displayName,has_unii,has_inchikey,is_combination
K1:00543AP1JV,2,Delphinium Staphisagria Seed,True,False,False
K1:005ICF6L27,3,Lycopodium Clavatum Whole,True,False,False
K1:006H22D6PZ,3,Ambrosia Tenuifolia Whole,True,False,False
K1:00AOG6IRLE,3,Hedychium Flavescens Whole,True,False,False
K1:00CR8124AS,3,English Sole,True,False,False
K1:00GG7UT6PL,3,"Chicken Skin, Cooked",True,False,False
K1:00IF91KFKQ,3,Crocus Sativus Flower,True,False,False
K1:00NT1ETN9K,3,TRPH-222,True,False,False
K1:00T5SH6SEJ,3,Bai Ji,True,False,False
K1:00UK7646FG,1,Capsicum,True,False,False
K1:00X6I56YXR,3,CDX-3379,True,False,False
K1:0125DUV5XC,3,Varlilumab,True,False,False
K1:012RCE5TWE,3,Salix Lutea Pollen,True,False,False
K1:015582E098,3,Atesidorsen,True,False,False
K1:01756N87N8,2,Wormwood Oil,True,False,False
K1:01800C6E6B,2,Dieffenbachia Seguine,True,False,False
K1:018649S21N,3,Lemalesomab,True,False,False
K1:01B3X858LI,3,Acer Pensylvanicum Whole,True,False,False
K1:01G73H6H83,2,Hops,True,False,False
K1:01G9XEA93N,2,Claviceps Purpurea Sclerotium,True,False,False
K1:01L0MVY85E,3,Edobacomab,True,False,False
K1:01OUW6MA4L,2,HYLAN G-F 20,True,False,False
K1:01WNS05SFO,3,Oryctolagus Cuniculus Spleen,True,False,False
K1:022461SR75,3,AZFICEL-T,True,False,False
K1:023XWA119J,3,Eschscholzia Californica Flowering Top,True,False,False
K1:02414N8GQC,3,Dextriferron,True,False,False
K1:0243Q4990L,3,Solanum Lycopersicum,True,False,False
K1:024W88F557,3,Fraxinus Latifolia Whole,True,False,False
K1:025JEQ4O6S,3,Hippeastrum Puniceum Whole,True,False,False
K1:0269TQ4H2N,3,Magnolia X Alba Whole,True,False,False
K1:0296055VE0,3,Clostridium Botulinum,True,False,False
K1:02AI5I027Q,3,Townsendia Exscapa Whole,True,False,False
K1:02E00T2QDE,2,Eftrenonacog alfa,True,False,False
K1:02FXP10O2U,2,Interleukin-12 Human Recombinant,True,False,False
K1:02I3VKA20E,3,Anacardium Occidentale Bark,True,False,False
K1:02I89C6K47,3,Cynanchum Otophyllum Whole,True,False,False
K1:02J7X17ZUQ,3,Amaranth Acid,True,True,False
K1:02KSI6Z9AK,1,Thyrotrophin,True,False,False
K1:02R4V6T25Y,3,Neurotrophin-3,True,False,False
K1:02RVY6X9EC,3,Quercus Kelloggii Pollen,True,False,False
K1:02VJ3CEY9G,3,Codonopsis Pilosula Root,True,False,False
K1:02WM57RXZJ,3,Black Walnut,True,False,False
K1:02Z59O1UOM,3,Dalmitamig,True,False,False
K1:030FN29S9H,3,Petroselinum Crispum Root,True,False,False
K1:030R993R8E,3,Ulmus Pumila Pollen,True,False,False
K1:033072U4MZ,2,Golodirsen,True,False,False
K1:0343IGH41U,2,Tositumomab,True,False,False
K1:0354RT7LG4,3,Buparvaquone,True,True,False
K1:039G4OZ3G2,3,Loxosceles Reclusa,True,False,False
K1:03C8A0DFJ8,2,Guaiac,True,False,False
K1:03E1FV7JUC,3,Tamtuvetmab,True,False,False
K1:03MZ53X1YS,2,INDIUM IN 111 CAPROMAB PENDETIDE,True,False,False
K1:03T08D1SW6,3,Astragalus Americanus Whole,True,False,False
K1:03T60V100Y,3,Sus Scrofa Rectal Mucosa,True,False,False
K1:03Z3I85RNE,2,Bos Taurus Spinal Cord,True,False,False
K1:042SUA2DS9,3,Pinus Ponderosa Pollen,True,False,False
K1:046PB542M7,3,Ephedra Nevadensis Whole,True,False,False
K1:046Y1357I6,3,Lamium Album,True,False,False
K1:048UJ2MM65,3,Besulpamide,True,True,False
K1:0493WH50VT,3,ARC-19499,True,False,False
K1:04W636S1V3,2,Malus Domestica Whole,True,False,False
K1:04W97Z676Y,3,Bassia Scoparia Fruit,True,False,False
K1:050QZ2EDK7,2,Sus Scrofa Pineal Gland,True,False,False
K1:053IJC048X,3,Aloe Spicata Whole,True,False,False
K1:05456MVL7T,2,Radium Cation,True,True,False
K1:054Q5D7VZI,3,Adintrevimab,True,False,False
K1:055456JHI7,3,Citrus Aurantium Fruit Rind,True,False,False
K1:05KB30NGW2,3,Alcaligenes Faecalis,True,False,False
K1:05P93760L4,3,Primula Hendersonii Whole,True,False,False
K1:05S7L91ZTR,2,Canis Lupus Familiaris Hair,True,False,False
K1:05T3M06HCM,3,Pteridium Aquilinum Whole,True,False,False
K1:05ZCK72TXZ,3,Ozoralizumab,True,False,False
K1:0601Z4Z0LU,3,Liriodendron Tulipifera Whole,True,False,False
K1:0628T707D0,3,Iscalimab,True,False,False
K1:063VBA799E,3,Human Papillomavirus Serotype 16 Whole,True,False,False
K1:065C5D077J,1,Sage,True,False,False
K1:06HG6YW0HK,3,L-3972-T,True,False,False
K1:06JI9W529S,3,Hops Oil,True,False,False
K1:06JMS448M5,3,Cymbopogon Citratus Leaf,True,False,False
K1:06M320D5U9,3,Asimina Triloba Whole,True,False,False
K1:06P3KLK2J8,1,Glofitamab,True,False,False
K1:06P3KLK2J8#gxbm,2,Glofitamab-Gxbm,True,False,False
K1:06ZPE0373L,3,Prosopis Cineraria Wood,True,False,False
K1:072D7X60WS,3,Panicum Miliaceum Whole,True,False,False
K1:074GT4PR9D,3,BIVATUZUMAB MERTANSINE,True,False,False
K1:074P18919S,3,Sargassum Pallidum,True,False,False
K1:076WHW89TW,1,Follitropin,True,False,False
K1:07730V90L6,2,Talimogene laherparepvec,True,False,False
K1:07896928ZC,2,Eravacycline,True,True,False
K1:079XQO23D9,3,Lilium Lancifolium Whole,True,False,False
K1:07A108ZKW5,3,Bassia Scoparia Pollen,True,False,False
K1:07EY0HWO2M,3,Porgaviximab,True,False,False
K1:07L86FJ69J,3,Amaranthus Hybridus Leaf,True,False,False
K1:07V4DX094T,3,Elder Flower,True,False,False
K1:07YL55QKZ9,2,Carpinus Betulus Flower,True,False,False
K1:0823G3NGQP,3,Melaleuca Viridiflora Whole,True,False,False
K1:082U1GSX3D,3,ORELLANINE,True,True,False
K1:086263LQDD,3,Biancaea Sappan Wood,True,False,False
K1:089658A12D,1,Guselkumab,True,False,False
K1:08A7Y81S1P,3,Hieracium Pilosella Flowering Top,True,False,False
K1:08F85I5YAV,2,Gastrodia,True,False,False
K1:08GY9K1EUO,2,Rasburicase,True,False,False
K1:08RQ4CQ601,3,HUMAN RECOMBINANT BONE MORPHOGENETIC PROTEIN 4,True,False,False
K1:08T3N29QJB,3,Atractylodes Macrocephala Root,True,False,False
K1:08VC9WC084,3,Corynebacterium Diphtheriae Crm197 Protein,True,False,False
K1:08X0K2M57P,2,Bos Taurus Bone Marrow,True,False,False
K1:08Z8093742,2,CHLORATE,True,True,False
K1:090CTY533N,3,Chicory,True,False,False
K1:090IP5RV8F,2,Omadacycline,True,True,False
K1:090PL12YZJ,3,Latiglutenase,True,False,False
K1:092IJ99835,3,Staphylococcus Haemolyticus,True,False,False
K1:092R717W8L,3,Ilonidap,True,True,False
K1:09495UIM6V,1,Bimekizumab,True,False,False
K1:09495UIM6V#bkzx,2,Bimekizumab-Bkzx,True,False,False
K1:097FL89535,2,Colchicum Autumnale Flower,True,False,False
K1:0980L90RNP,2,Human Respiratory Syncytial Virus,True,False,False
K1:098LKX5NCN,3,Chenopodium Album Pollen,True,False,False
K1:09FZ7Q0PQZ,3,Gosuranemab,True,False,False
K1:09N62XQ70Y,3,Oryctolagus Cuniculus Hair,True,False,False
K1:09PA36CT5R,2,Klebsiella Pneumoniae,True,False,False
