key,current_display_name,disambiguated_display_name,disambiguator,disambiguator_source,collides_on,collides_with
K1:F5452U54PN,Ferrous Iodide,Ferrous Iodide (FeI2),FeI2,molecular formula,ferrous,K1:129CO35H12;K1:33KM3X4QQW;K1:39R4TAN1VT;K1:781E2AXH0K;K1:818ZYK7N91;K1:D07L04MRWI;K1:DI3477D0PI;K1:MZ3Q72U52O;K1:R5L488RY0Q;K1:U1B11I423Z;K1:Z56D82TX8V;K1:ZRW631PTZD
K1:MZ3Q72U52O,Ferrous Carbonate,Ferrous Carbonate (CFeO3),CFeO3,molecular formula,ferrous,K1:129CO35H12;K1:33KM3X4QQW;K1:39R4TAN1VT;K1:781E2AXH0K;K1:818ZYK7N91;K1:D07L04MRWI;K1:DI3477D0PI;K1:F5452U54PN;K1:R5L488RY0Q;K1:U1B11I423Z;K1:Z56D82TX8V;K1:ZRW631PTZD
K1:R5L488RY0Q,Ferrous Fumarate,Ferrous Fumarate (C4H2FeO4),C4H2FeO4,molecular formula,ferrous,K1:129CO35H12;K1:33KM3X4QQW;K1:39R4TAN1VT;K1:781E2AXH0K;K1:818ZYK7N91;K1:D07L04MRWI;K1:DI3477D0PI;K1:F5452U54PN;K1:MZ3Q72U52O;K1:U1B11I423Z;K1:Z56D82TX8V;K1:ZRW631PTZD
K1:U1B11I423Z,Ferrous Gluconate,Ferrous Gluconate (C12H26FeO16),C12H26FeO16,molecular formula,ferrous,K1:129CO35H12;K1:33KM3X4QQW;K1:39R4TAN1VT;K1:781E2AXH0K;K1:818ZYK7N91;K1:D07L04MRWI;K1:DI3477D0PI;K1:F5452U54PN;K1:MZ3Q72U52O;K1:R5L488RY0Q;K1:Z56D82TX8V;K1:ZRW631PTZD
K1:Z56D82TX8V,FERROUS ASPARTATE,FERROUS ASPARTATE (C4H5FeNO4),C4H5FeNO4,molecular formula,ferrous,K1:129CO35H12;K1:33KM3X4QQW;K1:39R4TAN1VT;K1:781E2AXH0K;K1:818ZYK7N91;K1:D07L04MRWI;K1:DI3477D0PI;K1:F5452U54PN;K1:MZ3Q72U52O;K1:R5L488RY0Q;K1:U1B11I423Z;K1:ZRW631PTZD
K1:ZRW631PTZD,FERROUS TARTRATE,FERROUS TARTRATE (C4H4FeO6),C4H4FeO6,molecular formula,ferrous,K1:129CO35H12;K1:33KM3X4QQW;K1:39R4TAN1VT;K1:781E2AXH0K;K1:818ZYK7N91;K1:D07L04MRWI;K1:DI3477D0PI;K1:F5452U54PN;K1:MZ3Q72U52O;K1:R5L488RY0Q;K1:U1B11I423Z;K1:Z56D82TX8V
K1:1X9VK9O1SC,FLUDARABINE PHOSPHATE,FLUDARABINE PHOSPHATE (C10H13FN5O7P),C10H13FN5O7P,molecular formula,fludarabine,K1:P2K93U8740
K1:P2K93U8740,Fludarabine,Fludarabine (C10H12FN5O4),C10H12FN5O4,molecular formula,fludarabine,K1:1X9VK9O1SC
K1:ZO2JV75L55,Fludeoxyglucose,Fludeoxyglucose (UNII ZO2JV75L55),UNII ZO2JV75L55,FDA UNII,fludeoxyglucose,K2:ZCXUVYAZINUVJD-IVMDWMLBSA-N
K2:ZCXUVYAZINUVJD-IVMDWMLBSA-N,FLUDEOXYGLUCOSE,FLUDEOXYGLUCOSE (UNII 0Z5B2CJX4D),UNII 0Z5B2CJX4D,FDA UNII,fludeoxyglucose,K1:ZO2JV75L55
