key,current_display_name,disambiguated_display_name,disambiguator,disambiguator_source,collides_on,collides_with
K1:8MDF5V39QO,Sodium Bicarbonate,Sodium Bicarbonate (CHNaO3),CHNaO3,molecular formula,sodium,K1:0YPR65R21J;K1:36KCS0R750;K1:45P3261C7T;K1:8M4L3H2ZVZ;K1:F5WR8N145C;K1:LC1V549NOM;K1:NVG71ZZ7P0;K1:P2Y1C6M9PS;K1:WIQ1H85SYP
K1:F5WR8N145C,Sodium Iodide,Sodium Iodide (INa),INa,molecular formula,sodium,K1:0YPR65R21J;K1:36KCS0R750;K1:45P3261C7T;K1:8M4L3H2ZVZ;K1:8MDF5V39QO;K1:LC1V549NOM;K1:NVG71ZZ7P0;K1:P2Y1C6M9PS;K1:WIQ1H85SYP
K1:LC1V549NOM,Sodium Bromide,Sodium Bromide (BrNa),BrNa,molecular formula,sodium,K1:0YPR65R21J;K1:36KCS0R750;K1:45P3261C7T;K1:8M4L3H2ZVZ;K1:8MDF5V39QO;K1:F5WR8N145C;K1:NVG71ZZ7P0;K1:P2Y1C6M9PS;K1:WIQ1H85SYP
K1:NVG71ZZ7P0,Sodium Acetate Anhydrous,Sodium Acetate Anhydrous (C2H3NaO2),C2H3NaO2,molecular formula,sodium,K1:0YPR65R21J;K1:36KCS0R750;K1:45P3261C7T;K1:8M4L3H2ZVZ;K1:8MDF5V39QO;K1:F5WR8N145C;K1:LC1V549NOM;K1:P2Y1C6M9PS;K1:WIQ1H85SYP
K1:P2Y1C6M9PS,"Sodium LACTATE, L-","Sodium LACTATE, L- (C3H5NaO3)",C3H5NaO3,molecular formula,sodium,K1:0YPR65R21J;K1:36KCS0R750;K1:45P3261C7T;K1:8M4L3H2ZVZ;K1:8MDF5V39QO;K1:F5WR8N145C;K1:LC1V549NOM;K1:NVG71ZZ7P0;K1:WIQ1H85SYP
K1:WIQ1H85SYP,Sodium Salicylate,Sodium Salicylate (C7H5NaO3),C7H5NaO3,molecular formula,sodium,K1:0YPR65R21J;K1:36KCS0R750;K1:45P3261C7T;K1:8M4L3H2ZVZ;K1:8MDF5V39QO;K1:F5WR8N145C;K1:LC1V549NOM;K1:NVG71ZZ7P0;K1:P2Y1C6M9PS
K1:C857R7G2U6,SODIUM PENTABORATE PENTAHYDRATE,SODIUM PENTABORATE PENTAHYDRATE (H14B5NaO15),H14B5NaO15,molecular formula,sodium pentaborate,K1:XQG9Q75WDN
K1:XQG9Q75WDN,SODIUM PENTABORATE,SODIUM PENTABORATE (B5NaO8),B5NaO8,molecular formula,sodium pentaborate,K1:C857R7G2U6
K1:Y52BK1W96C,Sodium Perborate,Sodium Perborate (BNaO3),BNaO3,molecular formula,sodium perborate,K2:JBUKJLNBQDQXLI-UHFFFAOYSA-N
K2:JBUKJLNBQDQXLI-UHFFFAOYSA-N,SODIUM PERBORATE,SODIUM PERBORATE (H4B2Na2O8),H4B2Na2O8,molecular formula,sodium perborate,K1:Y52BK1W96C
K1:22ADO53M6F,"Sodium Phosphate, Dibasic","Sodium Phosphate, Dibasic (HNa2O4P)",HNa2O4P,molecular formula,sodium phosphate dibasic,K1:94255I6E2T
K1:94255I6E2T,"Sodium PHOSPHATE, DIBASIC, Dihydrate","Sodium PHOSPHATE, DIBASIC, Dihydrate (H5Na2O6P)",H5Na2O6P,molecular formula,sodium phosphate dibasic,K1:22ADO53M6F
K1:06XEA2VD56,Sorbitan oleate,Sorbitan oleate (SORBITAN MONOOLEATE),SORBITAN MONOOLEATE,FDA substance register name,sorbitan,K1:6W9PS8B71J;K1:77K6Z421KU
K1:6W9PS8B71J,Sorbitan laurate,Sorbitan laurate (SORBITAN MONOLAURATE),SORBITAN MONOLAURATE,FDA substance register name,sorbitan,K1:06XEA2VD56;K1:77K6Z421KU
K1:77K6Z421KU,Sorbitan palmitate,Sorbitan palmitate (SORBITAN MONOPALMITATE),SORBITAN MONOPALMITATE,FDA substance register name,sorbitan,K1:06XEA2VD56;K1:6W9PS8B71J
K1:9CL6353KHO,Sovleplenib,Sovleplenib (structure NJIAKNWTIVDSDA),structure NJIAKNWTIVDSDA,InChIKey skeleton,sovleplenib,K2:BRCHZKBUGSKTND-FQEVSTJZSA-N
K2:BRCHZKBUGSKTND-FQEVSTJZSA-N,Sovleplenib,Sovleplenib (structure BRCHZKBUGSKTND),structure BRCHZKBUGSKTND,InChIKey skeleton,sovleplenib,K1:9CL6353KHO
K1:1BQV3749L5,STANNOUS CHLORIDE,STANNOUS CHLORIDE (H4Cl2O2Sn),H4Cl2O2Sn,molecular formula,stannous,K1:3FTR44B32Q
K1:3FTR44B32Q,Stannous Fluoride,Stannous Fluoride (F2Sn),F2Sn,molecular formula,stannous,K1:1BQV3749L5
K1:BO9LE4QFZF,Stavudine,Stavudine (C10H12N2O4),C10H12N2O4,molecular formula,stavudine,K1:Q77PE87U4K
K1:Q77PE87U4K,Stavudine Monophosphate,Stavudine Monophosphate (C10H13N2O7P),C10H13N2O7P,molecular formula,stavudine,K1:BO9LE4QFZF
K1:1NG558X5VJ,Strontium Bromide,Strontium Bromide (Br2Sr),Br2Sr,molecular formula,strontium,K1:64RA22280P;K1:EFY8GJS81Z;K1:EKE8PS9J6Z;K1:O09USB7Z44;K1:YZS2RPE8LE
K1:64RA22280P,Strontium Oxide,Strontium Oxide (OSr),OSr,molecular formula,strontium,K1:1NG558X5VJ;K1:EFY8GJS81Z;K1:EKE8PS9J6Z;K1:O09USB7Z44;K1:YZS2RPE8LE
K1:EFY8GJS81Z,Strontium Fluoride,Strontium Fluoride (F2Sr),F2Sr,molecular formula,strontium,K1:1NG558X5VJ;K1:64RA22280P;K1:EKE8PS9J6Z;K1:O09USB7Z44;K1:YZS2RPE8LE
K1:EKE8PS9J6Z,STRONTIUM CHLORIDE,STRONTIUM CHLORIDE (Cl2Sr),Cl2Sr,molecular formula,strontium,K1:1NG558X5VJ;K1:64RA22280P;K1:EFY8GJS81Z;K1:O09USB7Z44;K1:YZS2RPE8LE
K1:O09USB7Z44,Strontium Chloride Hexahydrate,Strontium Chloride Hexahydrate (H12Cl2O6Sr),H12Cl2O6Sr,molecular formula,strontium,K1:1NG558X5VJ;K1:64RA22280P;K1:EFY8GJS81Z;K1:EKE8PS9J6Z;K1:YZS2RPE8LE
K1:YZS2RPE8LE,STRONTIUM,STRONTIUM (Sr),Sr,molecular formula,strontium,K1:1NG558X5VJ;K1:64RA22280P;K1:EFY8GJS81Z;K1:EKE8PS9J6Z;K1:O09USB7Z44
K1:XQ43H3V6M1,Subasumstat,Subasumstat (structure LXRZVMYMQHNYJB),structure LXRZVMYMQHNYJB,InChIKey skeleton,subasumstat,K2:IAKPXYFFBURVCV-JWDANJKUSA-N
K2:IAKPXYFFBURVCV-JWDANJKUSA-N,Subasumstat,Subasumstat (structure IAKPXYFFBURVCV),structure IAKPXYFFBURVCV,InChIKey skeleton,subasumstat,K1:XQ43H3V6M1
K2:FPAFDBFIGPHWGO-UHFFFAOYSA-N,TALC,TALC (H2Mg3O12Si4),H2Mg3O12Si4,molecular formula,talc,K2:XBPUDTAATCFDRE-UHFFFAOYSA-N
K2:XBPUDTAATCFDRE-UHFFFAOYSA-N,TALC ANHYDROUS,TALC ANHYDROUS (Mg3O11Si4),Mg3O11Si4,molecular formula,talc,K2:FPAFDBFIGPHWGO-UHFFFAOYSA-N
K1:97HLQ82NGL,Tedizolid,Tedizolid (C17H15FN6O3),C17H15FN6O3,molecular formula,tedizolid,K1:O7DRJ6R4DW
K1:O7DRJ6R4DW,TEDIZOLID PHOSPHATE,TEDIZOLID PHOSPHATE (C17H16FN6O6P),C17H16FN6O6P,molecular formula,tedizolid,K1:97HLQ82NGL
K1:549BT7IE1Q,TETRACHLORODECAOXIDE,TETRACHLORODECAOXIDE (H2Cl4Na4O11),H2Cl4Na4O11,molecular formula,tetrachlorodecaoxide,K2:WYYHVSBTBUAWJC-UHFFFAOYSA-N
K2:WYYHVSBTBUAWJC-UHFFFAOYSA-N,TETRACHLORODECAOXIDE ANHYDROUS,TETRACHLORODECAOXIDE ANHYDROUS (H4Cl4O10),H4Cl4O10,molecular formula,tetrachlorodecaoxide,K1:549BT7IE1Q
K1:43W3021X6C,Thymidine 5'-MONOPHOSPHATE,Thymidine 5'-MONOPHOSPHATE (C10H15N2O8P),C10H15N2O8P,molecular formula,thymidine 5,K1:QQ3K1P45DF
K1:QQ3K1P45DF,Thymidine 5'-DIPHOSPHATE,Thymidine 5'-DIPHOSPHATE (C10H16N2O11P2),C10H16N2O11P2,molecular formula,thymidine 5,K1:43W3021X6C
K1:BK26WI342Q,Titanium Dichloride,Titanium Dichloride (Cl2Ti),Cl2Ti,molecular formula,titanium,K1:D1JT611TNE
K1:D1JT611TNE,Titanium,Titanium (Ti),Ti,molecular formula,titanium,K1:BK26WI342Q
K1:99S2PY5BN2,TREPROSTINIL PHOSPHATE,TREPROSTINIL PHOSPHATE (C23H36O11P2),C23H36O11P2,molecular formula,treprostinil,K1:RUM6K67ESG
K1:RUM6K67ESG,Treprostinil,Treprostinil (C23H34O5),C23H34O5,molecular formula,treprostinil,K1:99S2PY5BN2
K1:1ZK20VI6TY,Triamcinolone,Triamcinolone (C21H27FO6),C21H27FO6,molecular formula,triamcinolone,K1:A73MM2Q32P
K1:A73MM2Q32P,TRIAMCINOLONE DIACETATE,TRIAMCINOLONE DIACETATE (C25H31FO8),C25H31FO8,molecular formula,triamcinolone,K1:1ZK20VI6TY
K1:2421HMY9N6,TRICIRIBINE,TRICIRIBINE (C13H16N6O4),C13H16N6O4,molecular formula,triciribine,K1:5L5GE3DV88
K1:5L5GE3DV88,Triciribine Phosphate,Triciribine Phosphate (C13H17N6O7P),C13H17N6O7P,molecular formula,triciribine,K1:2421HMY9N6
K1:8Z96QXD6UM,TRIETHYL CITRATE,TRIETHYL CITRATE (C12H20O7),C12H20O7,molecular formula,triethyl,K1:QIH4K96K7J
K1:QIH4K96K7J,TRIETHYL PHOSPHATE,TRIETHYL PHOSPHATE (C6H15O4P),C6H15O4P,molecular formula,triethyl,K1:8Z96QXD6UM
K1:2WP61F175M,Uridine triacetate,Uridine triacetate (C15H18N2O9),C15H18N2O9,molecular formula,uridine,K1:E2OU15WN0N;K1:WHI7HQ7H85
K1:E2OU15WN0N,Uridine Monophosphate,Uridine Monophosphate (C9H13N2O9P),C9H13N2O9P,molecular formula,uridine,K1:2WP61F175M;K1:WHI7HQ7H85
K1:WHI7HQ7H85,Uridine,Uridine (C9H12N2O6),C9H12N2O6,molecular formula,uridine,K1:2WP61F175M;K1:E2OU15WN0N
K1:506LI1B3A3,VALOMACICLOVIR STEARATE,VALOMACICLOVIR STEARATE (C33H58N6O5),C33H58N6O5,molecular formula,valomaciclovir,K1:F094Y61748
K1:F094Y61748,Valomaciclovir,Valomaciclovir (C15H24N6O4),C15H24N6O4,molecular formula,valomaciclovir,K1:506LI1B3A3
K1:ET7948FWOY,Vanadyl Dichloride,Vanadyl Dichloride (H2Cl2OV+2),H2Cl2OV+2,molecular formula,vanadyl,K2:MHHDXUNFNAZUGB-UHFFFAOYSA-N
K2:MHHDXUNFNAZUGB-UHFFFAOYSA-N,Vanadyl,Vanadyl (OV+2),OV+2,molecular formula,vanadyl,K1:ET7948FWOY
K1:4R069M4O1P,Vasopressin Tannate,Vasopressin Tannate (small molecule),small molecule,GSRS substance class,vasopressin,K1:Y4907O6MFD
K1:Y4907O6MFD,Vasopressin,Vasopressin (protein),protein,GSRS substance class,vasopressin,K1:4R069M4O1P
K1:1D1K0N0VVC,VITAMIN A PALMITATE,VITAMIN A PALMITATE (C36H60O2),C36H60O2,molecular formula,vitamin a,K1:3LE3D9D6OY
K1:3LE3D9D6OY,Vitamin A Acetate,Vitamin A Acetate (C22H32O2),C22H32O2,molecular formula,vitamin a,K1:1D1K0N0VVC
K1:0570F37359,Voxilaprevir,Voxilaprevir (C40H52F4N6O9S),C40H52F4N6O9S,molecular formula,voxilaprevir,K2:MKDALIOACIEUJM-XCFCBFDASA-N
K2:MKDALIOACIEUJM-XCFCBFDASA-N,Voxilaprevir,Voxilaprevir (C42H58F2N6O9S),C42H58F2N6O9S,molecular formula,voxilaprevir,K1:0570F37359
K1:DE79L822UY,XERUBORBACTAM,XERUBORBACTAM (C10H8BFO4),C10H8BFO4,molecular formula,xeruborbactam,K1:YE20AG583K
K1:YE20AG583K,Xeruborbactam Hydroxide,Xeruborbactam Hydroxide (C10H9BFO5-),C10H9BFO5-,molecular formula,xeruborbactam,K1:DE79L822UY
K1:MNQ4O4WSI1,Ytterbium,Ytterbium (Yb),Yb,molecular formula,ytterbium,K1:T66CZ53RP4
K1:T66CZ53RP4,Ytterbium Oxide,Ytterbium Oxide (O3Yb2),O3Yb2,molecular formula,ytterbium,K1:MNQ4O4WSI1
K1:D60QT594ZJ,Yttrium Bromide,Yttrium Bromide (Br3Y),Br3Y,molecular formula,yttrium,K1:V8QS7WES60;K1:X8071685XT
K1:V8QS7WES60,Yttrium Fluoride,Yttrium Fluoride (F3Y),F3Y,molecular formula,yttrium,K1:D60QT594ZJ;K1:X8071685XT
K1:X8071685XT,Yttrium Oxide,Yttrium Oxide (O3Y2),O3Y2,molecular formula,yttrium,K1:D60QT594ZJ;K1:V8QS7WES60
K1:0J6Z13X3WO,Zinc Sulfate Anhydrous,Zinc Sulfate Anhydrous (UNII 0J6Z13X3WO),UNII 0J6Z13X3WO,FDA UNII,zinc,K1:86Q357L16B;K1:89DS0H96TB;K1:J41CSQ7QDS;K1:N57JI2K7WP;K1:SOI2LOH54Z
K1:86Q357L16B,Zinc Chloride,Zinc Chloride (UNII 86Q357L16B),UNII 86Q357L16B,FDA UNII,zinc,K1:0J6Z13X3WO;K1:89DS0H96TB;K1:J41CSQ7QDS;K1:N57JI2K7WP;K1:SOI2LOH54Z
K1:89DS0H96TB,Zinc Sulfate,Zinc Sulfate (UNII 89DS0H96TB),UNII 89DS0H96TB,FDA UNII,zinc,K1:0J6Z13X3WO;K1:86Q357L16B;K1:J41CSQ7QDS;K1:N57JI2K7WP;K1:SOI2LOH54Z
K1:J41CSQ7QDS,Zinc,Zinc (UNII J41CSQ7QDS),UNII J41CSQ7QDS,FDA UNII,zinc,K1:0J6Z13X3WO;K1:86Q357L16B;K1:89DS0H96TB;K1:N57JI2K7WP;K1:SOI2LOH54Z
K1:N57JI2K7WP,Zinc Sulfate Heptahydrate,Zinc Sulfate Heptahydrate (UNII N57JI2K7WP),UNII N57JI2K7WP,FDA UNII,zinc,K1:0J6Z13X3WO;K1:86Q357L16B;K1:89DS0H96TB;K1:J41CSQ7QDS;K1:SOI2LOH54Z
K1:SOI2LOH54Z,Zinc Oxide,Zinc Oxide (UNII SOI2LOH54Z),UNII SOI2LOH54Z,FDA UNII,zinc,K1:0J6Z13X3WO;K1:86Q357L16B;K1:89DS0H96TB;K1:J41CSQ7QDS;K1:N57JI2K7WP
K1:1XHF39056H,Zirconium Fluoride,Zirconium Fluoride (F4Zr),F4Zr,molecular formula,zirconium,K1:C6V6S92N3C;K1:S38N85C5G0;K1:Z88176T871
K1:C6V6S92N3C,Zirconium,Zirconium (Zr),Zr,molecular formula,zirconium,K1:1XHF39056H;K1:S38N85C5G0;K1:Z88176T871
K1:S38N85C5G0,Zirconium Oxide,Zirconium Oxide (O2Zr),O2Zr,molecular formula,zirconium,K1:1XHF39056H;K1:C6V6S92N3C;K1:Z88176T871
K1:Z88176T871,Zirconium Chloride,Zirconium Chloride (Cl4Zr),Cl4Zr,molecular formula,zirconium,K1:1XHF39056H;K1:C6V6S92N3C;K1:S38N85C5G0
