key,current_display_name,disambiguated_display_name,disambiguator,disambiguator_source,collides_on,collides_with,applies_to
HOLD:existing:menadiol,Menadiol,Menadiol (UNII VQ093653DO),UNII VQ093653DO,FDA UNII,menadiol,K1:4TGB4HYC3M;K1:GRL65FEU3T,page-title
K1:00BH33GNGH,Cadmium,Cadmium (Cd),Cd,molecular formula,cadmium,K1:7726AXS0WH;K1:J6K4F9V3BA;K1:M0975E7Z8Z,page-title
K1:01Q9PC255D,Ammonium Chloride,Ammonium Chloride (UNII 01Q9PC255D),UNII 01Q9PC255D,FDA UNII,ammonium,K1:67M901L9NQ;K1:NJ5VT0FKLJ;K1:R0JB3224WS,page-title
K1:02F3473H9O,Magnesium Chloride,Magnesium Chloride (structure DHRRIBDTHFBPNG),structure DHRRIBDTHFBPNG,InChIKey skeleton,magnesium,K1:3A3U0GI71G;K1:41728CY7UX;K1:4G1MLN2EKF;K1:59XN63C8VM;K1:5N014C7IWU;K1:I38ZP9992A;K1:JQ69D454N1;K1:ML30MJ2U7I;K1:NBZ3QY004S;K1:PE152PYI6M;K1:SK47B8698T;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N,page-title
K1:03J5ZE7KA5,Atropine Sulfate,Atropine Sulfate (Muscarinic acetylcholine receptor M1),Muscarinic acetylcholine receptor M1,Inxight primary target,atropine,K1:3Y03IC177D,page-title
K1:0570F37359,Voxilaprevir,Voxilaprevir (C40H52F4N6O9S),C40H52F4N6O9S,molecular formula,voxilaprevir,K2:MKDALIOACIEUJM-XCFCBFDASA-N,page-title
K1:06O0TC0VSM,Fucoxanthin,Fucoxanthin (C42H58O6),C42H58O6,molecular formula,fucoxanthin,K2:MNUMHDZZMWCBBX-JWAQYZNWSA-N,page-title
K1:06XEA2VD56,Sorbitan oleate,Sorbitan oleate (SORBITAN MONOOLEATE),SORBITAN MONOOLEATE,FDA substance register name,sorbitan,K1:6W9PS8B71J;K1:77K6Z421KU,page-title
K1:0B5M38T47H,Cobaltous Phosphate,Cobaltous Phosphate (Co3O8P2),Co3O8P2,molecular formula,cobaltous,K1:26SK597UWV;K1:2H2166872F;K1:7H73A68FUV;K1:7M7RX75BAL;K1:H7965X29HX;K1:RTJ1W9DF34,page-title
K1:0HP2H86BS6,Cupric Nitrate Hexahydrate,Cupric Nitrate Hexahydrate (H12CuN2O12),H12CuN2O12,molecular formula,cupric,K1:1KC430K0ZN;K1:LRX7AJ16DT;K1:N8NP6FR80R;K1:P484053J2Y;K1:S2QG84156O,page-title
K1:0I2XIN602U,Ferric Chloride Hexahydrate,Ferric Chloride Hexahydrate (H12Cl3FeO6),H12Cl3FeO6,molecular formula,ferric,K1:3HWS7HF5XD;K1:434C3EI07T;K1:63G354M39Z;K1:9RDO128EH7;K1:N6BAA189V1;K1:U38V3ZVV3V;K1:UVP74NG1C5;K1:W108RK810P,page-title
K1:0J6Z13X3WO,Zinc Sulfate Anhydrous,Zinc Sulfate Anhydrous (UNII 0J6Z13X3WO),UNII 0J6Z13X3WO,FDA UNII,zinc,K1:86Q357L16B;K1:89DS0H96TB;K1:J41CSQ7QDS;K1:N57JI2K7WP;K1:SOI2LOH54Z,page-title
K1:0MFM55849I,MAGALDRATE ANHYDROUS,MAGALDRATE ANHYDROUS (H31Al5Mg10O39S2),H31Al5Mg10O39S2,molecular formula,magaldrate,K1:6V88E24N5T,page-title
K1:0SPD480WFH,METHENOLONE ENANTHATE,METHENOLONE ENANTHATE (C27H42O3),C27H42O3,molecular formula,methenolone,K1:W75590VPKQ,page-title
K1:0U46U6E8UK,Nadide,Nadide (C21H27N7O14P2),C21H27N7O14P2,molecular formula,nadide,K1:BY8P107XEP,page-title
K1:0VK51DA1T2,Barium Chloride,Barium Chloride (BaCl2),BaCl2,molecular formula,barium,K1:24GP945V5T;K1:TI8NM689HW;K1:WKC4T7680A,page-title
K1:0YPR65R21J,SODIUM SULFATE,SODIUM SULFATE (H20Na2O14S),H20Na2O14S,molecular formula,sodium,K1:36KCS0R750;K1:45P3261C7T;K1:8M4L3H2ZVZ;K1:8MDF5V39QO;K1:F5WR8N145C;K1:LC1V549NOM;K1:NVG71ZZ7P0;K1:P2Y1C6M9PS;K1:WIQ1H85SYP,page-title
K1:12133JR80S,Guanosine,Guanosine (cell proliferation),cell proliferation,Inxight primary target,guanosine,K1:16597955EP,page-title
K1:129CO35H12,Ferrous Arsenate,Ferrous Arsenate (As2Fe3O8),As2Fe3O8,molecular formula,ferrous,K1:33KM3X4QQW;K1:39R4TAN1VT;K1:781E2AXH0K;K1:818ZYK7N91;K1:D07L04MRWI;K1:DI3477D0PI;K1:F5452U54PN;K1:MZ3Q72U52O;K1:R5L488RY0Q;K1:U1B11I423Z;K1:Z56D82TX8V;K1:ZRW631PTZD,page-title
K1:129FW80TG4,MANGAFODIPIR TRISODIUM,MANGAFODIPIR TRISODIUM (C22H27MnN4Na3O14P2),C22H27MnN4Na3O14P2,molecular formula,mangafodipir,K1:N02W67RKJS,page-title
K1:16597955EP,Guanosine Monophosphate,Guanosine Monophosphate (RNA biosynthetic process),RNA biosynthetic process,Inxight primary target,guanosine,K1:12133JR80S,page-title
K1:16665T4A2X,Desoxycorticosterone Pivalate,Desoxycorticosterone Pivalate (C26H38O4),C26H38O4,molecular formula,desoxycorticosterone,K1:6E0A168OB8,page-title
K1:1BQV3749L5,STANNOUS CHLORIDE,STANNOUS CHLORIDE (H4Cl2O2Sn),H4Cl2O2Sn,molecular formula,stannous,K1:3FTR44B32Q,page-title
K1:1D1K0N0VVC,VITAMIN A PALMITATE,VITAMIN A PALMITATE (C36H60O2),C36H60O2,molecular formula,vitamin a,K1:3LE3D9D6OY,page-title
K1:1KC430K0ZN,Cupric Bromide,Cupric Bromide (Br2Cu),Br2Cu,molecular formula,cupric,K1:0HP2H86BS6;K1:LRX7AJ16DT;K1:N8NP6FR80R;K1:P484053J2Y;K1:S2QG84156O,page-title
K1:1KSV9V4Y4I,Cesium,Cesium (Cs),Cs,molecular formula,cesium,K1:GNR9HML8BA,page-title
K1:1NA86SF2H2,Glyceryl 1-ACETATE,Glyceryl 1-ACETATE (Aquaporin-7),Aquaporin-7,Inxight primary target,glyceryl 1,K1:258491E1RZ;K1:370V52HE4B;K1:9NTI6P3O4X;K1:D3AEF6S35P;K1:WR963Y5QYW,page-title
K1:1NG558X5VJ,Strontium Bromide,Strontium Bromide (Br2Sr),Br2Sr,molecular formula,strontium,K1:64RA22280P;K1:EFY8GJS81Z;K1:EKE8PS9J6Z;K1:O09USB7Z44;K1:YZS2RPE8LE,page-title
K1:1V7A1U282K,Prednisolone Tebutate,Prednisolone Tebutate (C27H38O6),C27H38O6,molecular formula,prednisolone,K1:9PHQ9Y1OLM,page-title
K1:1X9VK9O1SC,FLUDARABINE PHOSPHATE,FLUDARABINE PHOSPHATE (C10H13FN5O7P),C10H13FN5O7P,molecular formula,fludarabine,K1:P2K93U8740,page-title
K1:1XHF39056H,Zirconium Fluoride,Zirconium Fluoride (F4Zr),F4Zr,molecular formula,zirconium,K1:C6V6S92N3C;K1:S38N85C5G0;K1:Z88176T871,page-title
K1:1ZK20VI6TY,Triamcinolone,Triamcinolone (C21H27FO6),C21H27FO6,molecular formula,triamcinolone,K1:A73MM2Q32P,page-title
K1:22ADO53M6F,"Sodium Phosphate, Dibasic","Sodium Phosphate, Dibasic (HNa2O4P)",HNa2O4P,molecular formula,sodium phosphate dibasic,K1:94255I6E2T,page-title
K1:23227F83U0,Lysine Aspartate,Lysine Aspartate (C10H21N3O6),C10H21N3O6,molecular formula,lysine,K1:K3Z4F929H6,page-title
K1:2421HMY9N6,TRICIRIBINE,TRICIRIBINE (C13H16N6O4),C13H16N6O4,molecular formula,triciribine,K1:5L5GE3DV88,page-title
K1:24GP945V5T,Barium,Barium (Ba),Ba,molecular formula,barium,K1:0VK51DA1T2;K1:TI8NM689HW;K1:WKC4T7680A,page-title
K1:24QAP1VCUX,"Bornyl ACETATE, (-)-","Bornyl ACETATE, (-)- ((-))",(-),stereo descriptor in the recorded name,bornyl,K1:U3GJ0TB404,page-title
K1:258491E1RZ,Glyceryl 1-STEARATE,Glyceryl 1-STEARATE (Cyclooxygenase-2),Cyclooxygenase-2,Inxight primary target,glyceryl 1,K1:1NA86SF2H2;K1:370V52HE4B;K1:9NTI6P3O4X;K1:D3AEF6S35P;K1:WR963Y5QYW,page-title
K1:26SK597UWV,Cobaltous Gluconate,Cobaltous Gluconate (C12H22CoO14),C12H22CoO14,molecular formula,cobaltous,K1:0B5M38T47H;K1:2H2166872F;K1:7H73A68FUV;K1:7M7RX75BAL;K1:H7965X29HX;K1:RTJ1W9DF34,page-title
K1:2BP70L44PR,Dexamethasone Phosphate,Dexamethasone Phosphate (C22H30FO8P),C22H30FO8P,molecular formula,dexamethasone,K1:7S5I7G3JQL;K1:K7V8P532WP,page-title
K1:2DI9HA706A,Estrone,Estrone (C18H22O2),C18H22O2,molecular formula,estrone,K1:QTL48N278K,page-title
K1:2H2166872F,Cobaltous Nitrate Hexahydrate,Cobaltous Nitrate Hexahydrate (H12CoN2O12),H12CoN2O12,molecular formula,cobaltous,K1:0B5M38T47H;K1:26SK597UWV;K1:7H73A68FUV;K1:7M7RX75BAL;K1:H7965X29HX;K1:RTJ1W9DF34,page-title
K1:2I87U3734A,Neodymium,Neodymium (Nd),Nd,molecular formula,neodymium,K1:AYT3H319PN,page-title
K1:2M3055079H,Brivudine,Brivudine (C11H13BrN2O5),C11H13BrN2O5,molecular formula,brivudine,K1:O7N0Y11U8K,page-title
K1:2P299V784P,Lead,Lead (Pb),Pb,molecular formula,lead,K1:OTL90F2GLT,page-title
K1:2WP61F175M,Uridine triacetate,Uridine triacetate (C15H18N2O9),C15H18N2O9,molecular formula,uridine,K1:E2OU15WN0N;K1:WHI7HQ7H85,page-title
K1:2Y87E22X71,Hydrocortisone Phosphate,Hydrocortisone Phosphate (C21H31O8P),C21H31O8P,molecular formula,hydrocortisone,K1:O6550D6K3A;K1:WI4X0X7BPJ,page-title
K1:33KM3X4QQW,FERROUS CITRATE,FERROUS CITRATE (C6H6FeO7),C6H6FeO7,molecular formula,ferrous,K1:129CO35H12;K1:39R4TAN1VT;K1:781E2AXH0K;K1:818ZYK7N91;K1:D07L04MRWI;K1:DI3477D0PI;K1:F5452U54PN;K1:MZ3Q72U52O;K1:R5L488RY0Q;K1:U1B11I423Z;K1:Z56D82TX8V;K1:ZRW631PTZD,page-title
K1:34S289N54E,Aluminum Sulfate,Aluminum Sulfate (H2Al2O13S3),H2Al2O13S3,molecular formula,aluminum,K1:I7T908772F,page-title
K1:35LT29625A,Estramustine,Estramustine (C23H31Cl2NO3),C23H31Cl2NO3,molecular formula,estramustine,K1:MUZ9585Y7B,page-title
K1:3655633623,LITHIUM CITRATE ANHYDROUS,LITHIUM CITRATE ANHYDROUS (C6H5Li3O7),C6H5Li3O7,molecular formula,lithium,K1:5Z6E9K79YV,page-title
K1:36KCS0R750,SODIUM SULFATE ANHYDROUS,SODIUM SULFATE ANHYDROUS (Na2O4S),Na2O4S,molecular formula,sodium,K1:0YPR65R21J;K1:45P3261C7T;K1:8M4L3H2ZVZ;K1:8MDF5V39QO;K1:F5WR8N145C;K1:LC1V549NOM;K1:NVG71ZZ7P0;K1:P2Y1C6M9PS;K1:WIQ1H85SYP,page-title
K1:370V52HE4B,"Glyceryl 1-PHOSPHATE, (R)-","Glyceryl 1-PHOSPHATE, (R)- (Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic)","Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",Inxight primary target,glyceryl 1,K1:1NA86SF2H2;K1:258491E1RZ;K1:9NTI6P3O4X;K1:D3AEF6S35P;K1:WR963Y5QYW,page-title
K1:39R4TAN1VT,Ferrous Sulfate,Ferrous Sulfate (H14FeO11S),H14FeO11S,molecular formula,ferrous,K1:129CO35H12;K1:33KM3X4QQW;K1:781E2AXH0K;K1:818ZYK7N91;K1:D07L04MRWI;K1:DI3477D0PI;K1:F5452U54PN;K1:MZ3Q72U52O;K1:R5L488RY0Q;K1:U1B11I423Z;K1:Z56D82TX8V;K1:ZRW631PTZD,page-title
K1:39WPC8JHR8,Gallopamil,Gallopamil (C28H40N2O5),C28H40N2O5,molecular formula,gallopamil,K2:IERWCEALNGTKIK-UHFFFAOYSA-N,page-title
K1:3A3U0GI71G,Magnesium Oxide,Magnesium Oxide (structure AXZKOIWUVFPNLO),structure AXZKOIWUVFPNLO,InChIKey skeleton,magnesium,K1:02F3473H9O;K1:41728CY7UX;K1:4G1MLN2EKF;K1:59XN63C8VM;K1:5N014C7IWU;K1:I38ZP9992A;K1:JQ69D454N1;K1:ML30MJ2U7I;K1:NBZ3QY004S;K1:PE152PYI6M;K1:SK47B8698T;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N,page-title
K1:3C4Z4KG52T,HAFNIUM OXIDE,HAFNIUM OXIDE (HfO2),HfO2,molecular formula,hafnium,K1:X71938L1DO,page-title
K1:3FTR44B32Q,Stannous Fluoride,Stannous Fluoride (F2Sn),F2Sn,molecular formula,stannous,K1:1BQV3749L5,page-title
K1:3HWS7HF5XD,FERRIC SULFATE,FERRIC SULFATE (H10Fe2O17S3),H10Fe2O17S3,molecular formula,ferric,K1:0I2XIN602U;K1:434C3EI07T;K1:63G354M39Z;K1:9RDO128EH7;K1:N6BAA189V1;K1:U38V3ZVV3V;K1:UVP74NG1C5;K1:W108RK810P,page-title
K1:3I1VBB7AXH,Glycol Salicylate,Glycol Salicylate (C9H10O4),C9H10O4,molecular formula,glycol,K1:FC72KVT52F,page-title
K1:3KX376GY7L,Glutamic acid,Glutamic acid (C5H9NO4),C5H9NO4,molecular formula,glutamic acid,K1:M0C2SP444T,page-title
K1:3LE3D9D6OY,Vitamin A Acetate,Vitamin A Acetate (C22H32O2),C22H32O2,molecular formula,vitamin a,K1:1D1K0N0VVC,page-title
K1:3THM379K8A,Pyridoxal,Pyridoxal (Steroid 5-alpha-reductase),Steroid 5-alpha-reductase,Inxight primary target,pyridoxal,K1:F06SGE49M6,page-title
K1:3U02EL437C,Clindamycin,Clindamycin (C18H33ClN2O5S),C18H33ClN2O5S,molecular formula,clindamycin,K1:EH6D7113I8,page-title
K1:3Y03IC177D,Atropine oxide,Atropine oxide (Muscarinic acetylcholine receptor),Muscarinic acetylcholine receptor,Inxight primary target,atropine,K1:03J5ZE7KA5,page-title
K1:415SHH325A,Adenosine phosphate,Adenosine phosphate (Adrenergic receptor),Adrenergic receptor,Inxight primary target,adenosine,K1:61D2G4IYVH;K1:K72T3FS567,page-title
K1:41728CY7UX,Magnesium Salicylate,Magnesium Salicylate (structure NBQBEWAYWAMLJJ),structure NBQBEWAYWAMLJJ,InChIKey skeleton,magnesium,K1:02F3473H9O;K1:3A3U0GI71G;K1:4G1MLN2EKF;K1:59XN63C8VM;K1:5N014C7IWU;K1:I38ZP9992A;K1:JQ69D454N1;K1:ML30MJ2U7I;K1:NBZ3QY004S;K1:PE152PYI6M;K1:SK47B8698T;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N,page-title
K1:418M5916WG,CHLORAL HYDRATE,CHLORAL HYDRATE (C2H3Cl3O2),C2H3Cl3O2,molecular formula,chloral,K1:FLI06WS32H,page-title
K1:41SGH8A2S6,Nickel Bromide,Nickel Bromide (Br2Ni),Br2Ni,molecular formula,nickel,K1:4FLT4T3WUN;K1:696BNE976J;K1:69NBB20493;K1:7OV03QG267;K1:JC9WZ4FK68,page-title
K1:42OD65L39F,Samarium,Samarium (Sm),Sm,molecular formula,samarium,K1:91N8739X2N,page-title
K1:434C3EI07T,FERRIC SODIUM CITRATE,FERRIC SODIUM CITRATE (C6H4FeNaO7),C6H4FeNaO7,molecular formula,ferric,K1:0I2XIN602U;K1:3HWS7HF5XD;K1:63G354M39Z;K1:9RDO128EH7;K1:N6BAA189V1;K1:U38V3ZVV3V;K1:UVP74NG1C5;K1:W108RK810P,page-title
K1:43W3021X6C,Thymidine 5'-MONOPHOSPHATE,Thymidine 5'-MONOPHOSPHATE (C10H15N2O8P),C10H15N2O8P,molecular formula,thymidine 5,K1:QQ3K1P45DF,page-title
K1:444W947O8O,Europium,Europium (Eu),Eu,molecular formula,europium,K1:44642614WR,page-title
K1:44642614WR,Europium Oxide,Europium Oxide (Eu2O3),Eu2O3,molecular formula,europium,K1:444W947O8O,page-title
K1:451W47IQ8X,Compound solution of sodium chloride,Compound solution of sodium chloride (Sodium Chloride),Sodium Chloride,FDA substance register name,compound solution of,K1:TU7HW0W0QT,page-title
K1:459AG36T1B,Prasterone,Prasterone (C19H28O2),C19H28O2,molecular formula,prasterone,K1:57B09Q7FJR,page-title
K1:45I14D8O27,Choline chloride,Choline chloride (C5H14ClNO),C5H14ClNO,molecular formula,choline,K1:7THJ3EG9SY;K1:KD510K1IQW;K1:N91BDP6H0X;K2:QWJSAWXRUVVRLH-UHFFFAOYSA-M,page-title
K1:45IUB1PX8R,Monomethyl fumarate,Monomethyl fumarate (C5H6O4),C5H6O4,molecular formula,monomethyl,K2:BYBMHSADRRMVHY-UHFFFAOYSA-N,page-title
K1:45P3261C7T,Sodium Carbonate,Sodium Carbonate (CNa2O3),CNa2O3,molecular formula,sodium,K1:0YPR65R21J;K1:36KCS0R750;K1:8M4L3H2ZVZ;K1:8MDF5V39QO;K1:F5WR8N145C;K1:LC1V549NOM;K1:NVG71ZZ7P0;K1:P2Y1C6M9PS;K1:WIQ1H85SYP,page-title
K1:46CWK97Z3K,Ixazomib Citrate,Ixazomib Citrate (C20H23BCl2N2O9),C20H23BCl2N2O9,molecular formula,ixazomib,K1:71050168A2,page-title
K1:46U771ERWK,ETHYL CHLORIDE,ETHYL CHLORIDE (C2H5Cl),C2H5Cl,molecular formula,ethyl,K1:555U6TZ2MV;K2:QUPDWYMUPZLYJZ-UHFFFAOYSA-N,page-title
K1:483W67CPF4,Boron Oxide,Boron Oxide (B2O3),B2O3,molecular formula,boron,K1:N9E3X5056Q;K1:S043P4DV22,page-title
K1:49717AWG6K,Ribavirin,Ribavirin (C8H12N4O5),C8H12N4O5,molecular formula,ribavirin,K1:O9FVV27P11,page-title
K1:49SD6G16U5,Bolandiol,Bolandiol (C18H28O2),C18H28O2,molecular formula,bolandiol,K2:JFAXVZXNIGIDDA-ABBKQRNASA-N,page-title
K1:4B135RK2KL,Manitimus,Manitimus (C15H11F3N2O2),C15H11F3N2O2,molecular formula,manitimus,K2:OQUXVPJVBSENGK-QXMHVHEDSA-N,page-title
K1:4FLT4T3WUN,Nickel Sulfate,Nickel Sulfate (NiO4S),NiO4S,molecular formula,nickel,K1:41SGH8A2S6;K1:696BNE976J;K1:69NBB20493;K1:7OV03QG267;K1:JC9WZ4FK68,page-title
K1:4G1MLN2EKF,"MAGNESIUM LACTATE DIHYDRATE, L-","MAGNESIUM LACTATE DIHYDRATE, L- (structure KSHMINBVGAHXNS)",structure KSHMINBVGAHXNS,InChIKey skeleton,magnesium,K1:02F3473H9O;K1:3A3U0GI71G;K1:41728CY7UX;K1:59XN63C8VM;K1:5N014C7IWU;K1:I38ZP9992A;K1:JQ69D454N1;K1:ML30MJ2U7I;K1:NBZ3QY004S;K1:PE152PYI6M;K1:SK47B8698T;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N,page-title
K1:4G8X27X87A,Monlunabant,Monlunabant (structure GYJPQNPVIJXXTA),structure GYJPQNPVIJXXTA,InChIKey skeleton,monlunabant,K2:BWTOCEGDOPMUFY-QHCPKHFHSA-N,page-title
K1:4R069M4O1P,Vasopressin Tannate,Vasopressin Tannate (small molecule),small molecule,GSRS substance class,vasopressin,K1:Y4907O6MFD,page-title
K1:4TGB4HYC3M,Menadiol Disulfate,Menadiol Disulfate (UNII 4TGB4HYC3M),UNII 4TGB4HYC3M,FDA UNII,menadiol,HOLD:existing:menadiol;K1:GRL65FEU3T,page-title
K1:4X4EG5ARZ4,Cefotaxime S-OXIDE,Cefotaxime S-OXIDE (C16H17N5O8S2),C16H17N5O8S2,molecular formula,cefotaxime,K1:N2GI8B1GK7,page-title
K1:506LI1B3A3,VALOMACICLOVIR STEARATE,VALOMACICLOVIR STEARATE (C33H58N6O5),C33H58N6O5,molecular formula,valomaciclovir,K1:F094Y61748,page-title
K1:528XYJ8L1N,ETOPOSIDE PHOSPHATE,ETOPOSIDE PHOSPHATE (C29H33O16P),C29H33O16P,molecular formula,etoposide,K1:6PLQ3CP4P3,page-title
K1:53GH7MZT1R,Mercuric Chloride,Mercuric Chloride (Cl2Hg),Cl2Hg,molecular formula,mercuric,K1:IY191986AO;K1:R03O05RB0P,page-title
K1:53PH22NTYW,Scandium Chloride,Scandium Chloride (Cl3Sc),Cl3Sc,molecular formula,scandium,K1:T0G94L07ZD;K1:YUJ4U1EW7R,page-title
K1:5480D0NHLJ,Gadolinium Oxide,Gadolinium Oxide (Gd2O3),Gd2O3,molecular formula,gadolinium,K1:AU0V1LM3JT,page-title
K1:549BT7IE1Q,TETRACHLORODECAOXIDE,TETRACHLORODECAOXIDE (H2Cl4Na4O11),H2Cl4Na4O11,molecular formula,tetrachlorodecaoxide,K2:WYYHVSBTBUAWJC-UHFFFAOYSA-N,page-title
K1:555U6TZ2MV,ETHYL SALICYLATE,ETHYL SALICYLATE (C9H10O3),C9H10O3,molecular formula,ethyl,K1:46U771ERWK;K2:QUPDWYMUPZLYJZ-UHFFFAOYSA-N,page-title
K1:57B09Q7FJR,Prasterone Sulfate,Prasterone Sulfate (C19H28O5S),C19H28O5S,molecular formula,prasterone,K1:459AG36T1B,page-title
K1:59XN63C8VM,MAGNESIUM CHLORIDE ANHYDROUS,MAGNESIUM CHLORIDE ANHYDROUS (structure TWRXJAOTZQYOKJ),structure TWRXJAOTZQYOKJ,InChIKey skeleton,magnesium,K1:02F3473H9O;K1:3A3U0GI71G;K1:41728CY7UX;K1:4G1MLN2EKF;K1:5N014C7IWU;K1:I38ZP9992A;K1:JQ69D454N1;K1:ML30MJ2U7I;K1:NBZ3QY004S;K1:PE152PYI6M;K1:SK47B8698T;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N,page-title
K1:5IE62321P4,Gramicidin,Gramicidin (mixture),mixture,GSRS substance class,gramicidin,K1:WHM29QA23F,page-title
K1:5L5GE3DV88,Triciribine Phosphate,Triciribine Phosphate (C13H17N6O7P),C13H17N6O7P,molecular formula,triciribine,K1:2421HMY9N6,page-title
K1:5N014C7IWU,Magnesium Fluoride,Magnesium Fluoride (structure ORUIBWPALBXDOA),structure ORUIBWPALBXDOA,InChIKey skeleton,magnesium,K1:02F3473H9O;K1:3A3U0GI71G;K1:41728CY7UX;K1:4G1MLN2EKF;K1:59XN63C8VM;K1:I38ZP9992A;K1:JQ69D454N1;K1:ML30MJ2U7I;K1:NBZ3QY004S;K1:PE152PYI6M;K1:SK47B8698T;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N,page-title
K1:5Q9VVO3QCN,Manganese Iodide,Manganese Iodide (I2Mn),I2Mn,molecular formula,manganese,K1:6PH9331Y9Z;K1:6YB4901Y90;K1:7G09WJ8QIR;K1:9ZV57512ZM;K1:I389H78514;K1:IGA15S9H40;K1:QQE170PANO;K1:U70U4T7N6S;K1:W00LYS4T26,page-title
K1:5Z6E9K79YV,Lithium Citrate,Lithium Citrate (C6H13Li3O11),C6H13Li3O11,molecular formula,lithium,K1:3655633623,page-title
K1:5ZA2S6B08X,Cetyl Palmitate,Cetyl Palmitate (C32H64O2),C32H64O2,molecular formula,cetyl,K1:78K2L26L8N;K1:I19DN3Q5ZP,page-title
K1:61D2G4IYVH,Adenosine Diphosphate,Adenosine Diphosphate (Purinergic receptor P2Y1),Purinergic receptor P2Y1,Inxight primary target,adenosine,K1:415SHH325A;K1:K72T3FS567,page-title
K1:62H10A1236,Ethynodiol Diacetate,Ethynodiol Diacetate (C24H32O4),C24H32O4,molecular formula,ethynodiol,K1:9E01C36A9S,page-title
K1:63G354M39Z,Ferric Citrate,Ferric Citrate (C6H5FeO7),C6H5FeO7,molecular formula,ferric,K1:0I2XIN602U;K1:3HWS7HF5XD;K1:434C3EI07T;K1:9RDO128EH7;K1:N6BAA189V1;K1:U38V3ZVV3V;K1:UVP74NG1C5;K1:W108RK810P,page-title
K1:6466NM3W93,PYRIDOXAMINE,PYRIDOXAMINE (C8H12N2O2),C8H12N2O2,molecular formula,pyridoxamine,K1:Q05R77UO7P,page-title
K1:64RA22280P,Strontium Oxide,Strontium Oxide (OSr),OSr,molecular formula,strontium,K1:1NG558X5VJ;K1:EFY8GJS81Z;K1:EKE8PS9J6Z;K1:O09USB7Z44;K1:YZS2RPE8LE,page-title
K1:66974FR9Q1,Chloramphenicol,Chloramphenicol (C11H12Cl2N2O5),C11H12Cl2N2O5,molecular formula,chloramphenicol,K1:ZCX619U9A1,page-title
K1:67M901L9NQ,Ammonium Lactate,Ammonium Lactate (UNII 67M901L9NQ),UNII 67M901L9NQ,FDA UNII,ammonium,K1:01Q9PC255D;K1:NJ5VT0FKLJ;K1:R0JB3224WS,page-title
K1:696BNE976J,Nickel Chloride,Nickel Chloride (Cl2Ni),Cl2Ni,molecular formula,nickel,K1:41SGH8A2S6;K1:4FLT4T3WUN;K1:69NBB20493;K1:7OV03QG267;K1:JC9WZ4FK68,page-title
K1:69NBB20493,Nickel Fluoride,Nickel Fluoride (F2Ni),F2Ni,molecular formula,nickel,K1:41SGH8A2S6;K1:4FLT4T3WUN;K1:696BNE976J;K1:7OV03QG267;K1:JC9WZ4FK68,page-title
K1:6E0A168OB8,Desoxycorticosterone Acetate,Desoxycorticosterone Acetate (C23H32O4),C23H32O4,molecular formula,desoxycorticosterone,K1:16665T4A2X,page-title
K1:6LN4W6JJK6,Pregnenolone Succinate,Pregnenolone Succinate (GABA-A receptor; benzodiazepine site),GABA-A receptor; benzodiazepine site,Inxight primary target,pregnenolone,K1:73R90F7MQ8,page-title
K1:6PG9VR430D,Nandrolone,Nandrolone (C18H26O2),C18H26O2,molecular formula,nandrolone,K2:REACBNMPQDINOF-YBBIQVIJSA-N,page-title
K1:6PH9331Y9Z,Manganese Lactate,Manganese Lactate (C6H10MnO6),C6H10MnO6,molecular formula,manganese,K1:5Q9VVO3QCN;K1:6YB4901Y90;K1:7G09WJ8QIR;K1:9ZV57512ZM;K1:I389H78514;K1:IGA15S9H40;K1:QQE170PANO;K1:U70U4T7N6S;K1:W00LYS4T26,page-title
K1:6PLQ3CP4P3,Etoposide,Etoposide (C29H32O13),C29H32O13,molecular formula,etoposide,K1:528XYJ8L1N,page-title
K1:6V88E24N5T,Magaldrate,Magaldrate (H33Al5Mg10O40S2),H33Al5Mg10O40S2,molecular formula,magaldrate,K1:0MFM55849I,page-title
K1:6W9PS8B71J,Sorbitan laurate,Sorbitan laurate (SORBITAN MONOLAURATE),SORBITAN MONOLAURATE,FDA substance register name,sorbitan,K1:06XEA2VD56;K1:77K6Z421KU,page-title
K1:6X9OC3H4II,Loperamide,Loperamide (Mu opioid receptor),Mu opioid receptor,Inxight primary target,loperamide,K1:NG66S4H2RL,page-title
K1:6YB4901Y90,MANGANESE CHLORIDE ANHYDROUS,MANGANESE CHLORIDE ANHYDROUS (Cl2Mn),Cl2Mn,molecular formula,manganese,K1:5Q9VVO3QCN;K1:6PH9331Y9Z;K1:7G09WJ8QIR;K1:9ZV57512ZM;K1:I389H78514;K1:IGA15S9H40;K1:QQE170PANO;K1:U70U4T7N6S;K1:W00LYS4T26,page-title
K1:71050168A2,Ixazomib,Ixazomib (C14H19BCl2N2O4),C14H19BCl2N2O4,molecular formula,ixazomib,K1:46CWK97Z3K,page-title
