key,current_display_name,disambiguated_display_name,disambiguator,disambiguator_source,collides_on,collides_with,applies_to
K1:HZK34LN80N,4-Terpineol,4-Terpineol (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,4 terpineol,K1:L65MV77ZG6,relation-label
K1:I04O1DT48T,Echinacoside,Echinacoside (ChEMBL CHEMBL510539),ChEMBL CHEMBL510539,ChEMBL molecule identifier,echinacoside,K2:FSBUXLDOLNLABB-ZBMJVRRDSA-N,relation-label
K1:I0Q6O6740J,Ritodrine,Ritodrine (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,ritodrine,K2:IOVGROKTTNBUGK-UHFFFAOYSA-N,relation-label
K1:I43D0296P8,Nebivolol,Nebivolol (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,nebivolol,K2:KOHIRBRYDXPAMZ-UHFFFAOYSA-N,relation-label
K1:I5DGT51IB8,Nerandomilast,Nerandomilast (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,nerandomilast,K2:UHYCLWAANUGUMN-UHFFFAOYSA-N,relation-label
K1:IGO73S04D5,Beta-Pinene,Beta-Pinene (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,beta pinene,K2:WTARULDDTDQWMU-UHFFFAOYSA-N,relation-label
K1:IN5W64L102,Glutethimide,Glutethimide (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,glutethimide,K1:C8I4BVN78E,relation-label
K1:INU8H2KAWG,Fenoldopam,Fenoldopam (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,fenoldopam,K1:Y9ESM282DO,relation-label
K1:IV7H45AM5B,K-252A,K-252A (ChEMBL CHEMBL281948),ChEMBL CHEMBL281948,ChEMBL molecule identifier,k 252a,K2:KOZFSFOOLUUIGY-IYYJOCMQSA-N,relation-label
K1:J3TZF807X5,Malic Acid,Malic Acid (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,malic acid,K1:817L1N4CKP,relation-label
K1:J697UZ2A9J,Ipratropium Bromide,Ipratropium Bromide (structure OEXHQOGQTVQTAT-JRNQLAHRSA-N),structure OEXHQOGQTVQTAT-JRNQLAHRSA-N,InChIKey,ipratropium bromide,K2:OEXHQOGQTVQTAT-BHIXFJMTSA-N,relation-label
K1:JKZ19V908O,Asenapine,Asenapine (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,asenapine,K2:VSWBSWWIRNCQIJ-UHFFFAOYSA-N,relation-label
K1:JU4MC5ZQ7G,Moxifloxacin,"Moxifloxacin (MOXIFLOXACIN, (R)-)","MOXIFLOXACIN, (R)-",FDA substance register name,moxifloxacin,K1:U188XYD42P,relation-label
K1:JV86Y0CIVF,Ethambutol,"Ethambutol (Ethambutol, (R,R)-)","Ethambutol, (R,R)-",FDA substance register name,ethambutol,K1:8G167061QZ,relation-label
K1:K676NL63N7,Rolipram,Rolipram (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,rolipram,K1:DPX51KUP08,relation-label
K1:L40Y453Y96,Solasodine,Solasodine (ChEMBL CHEMBL518252),ChEMBL CHEMBL518252,ChEMBL molecule identifier,solasodine,K2:KWVISVAMQJWJSZ-MEPOCMDBSA-N,relation-label
K1:L628TT009W,Isoprenaline,Isoprenaline (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,isoprenaline,K1:70D2X5QMKK,relation-label
K1:L65MV77ZG6,"4-TERPINEOL, (+/-)-","4-TERPINEOL, (+/-)- (recorded without stereochemistry)",recorded without stereochemistry,recorded stereochemistry,4 terpineol,K1:HZK34LN80N,relation-label
K1:L7J6A1NE81,BENZOIN,BENZOIN (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,benzoin,K1:BG0X2899M2,relation-label
K1:LK279ER14X,Silicristin,Silicristin (ChEMBL CHEMBL130493),ChEMBL CHEMBL130493,ChEMBL molecule identifier,silicristin,K2:BMLIIPOXVWESJG-CMIZNHKFSA-N,relation-label
K1:LUC985IS6T,Aminoglutethimide,Aminoglutethimide (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,aminoglutethimide,K1:0O54ZQ14I9,relation-label
K1:M26C4IP44P,Chlorcyclizine,Chlorcyclizine (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,chlorcyclizine,K1:5IY3F5T1FH,relation-label
K1:M55RUL8T9C,Bepridil,Bepridil (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,bepridil,K1:755BO701MA,relation-label
K1:M94R1PM439,Ecamsule,Ecamsule (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,ecamsule,K2:HEAHZSUCFKFERC-UHFFFAOYSA-N,relation-label
K1:MDY902UXSR,Esmolol,Esmolol (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,esmolol,K1:5PX2ESK7OE,relation-label
K1:MEI78CAM16,Bisbentiamine,Bisbentiamine (ChEMBL CHEMBL1987005),ChEMBL CHEMBL1987005,ChEMBL molecule identifier,bisbentiamine,K2:IWXAZSAGYJHXPX-LYWFMZLMSA-N,relation-label
