key,slug,printed_name,components,component_keys,shares_component_with
"COMBO:{K1:8ID597Z82X,K1:KV2JZ1BI6Z}",pyridoxine-alpha-ketoglutarate,Pyridoxine Alpha-Ketoglutarate,Alpha Ketoglutarate + Pyridoxine,K1:8ID597Z82X;K1:KV2JZ1BI6Z,"COMBO:{K1:1EQV5MLY3D,K1:8ID597Z82X};COMBO:{K1:3THM379K8A,K1:8ID597Z82X};COMBO:{K1:4QD397987E,K1:8ID597Z82X};COMBO:{K1:8ID597Z82X,K1:E524N2IXA3};COMBO:{K1:8ID597Z82X,K1:MU72812GK0}"
"COMBO:{K1:8ID597Z82X,K1:MU72812GK0}",creatine-alpha-ketoglutarate,Creatine Alpha-Ketoglutarate,Alpha Ketoglutarate + Creatine,K1:8ID597Z82X;K1:MU72812GK0,"COMBO:{K1:1EQV5MLY3D,K1:8ID597Z82X};COMBO:{K1:3THM379K8A,K1:8ID597Z82X};COMBO:{K1:4QD397987E,K1:8ID597Z82X};COMBO:{K1:61H4T033E5,K1:MU72812GK0};COMBO:{K1:8558G7RUTR,K1:MU72812GK0};COMBO:{K1:8ID597Z82X,K1:E524N2IXA3};COMBO:{K1:8ID597Z82X,K1:KV2JZ1BI6Z}"
"COMBO:{K1:9100L32L2N,K1:HDC1R2M35U}",empagliflozin-metformin,"Empagliflozin, Metformin",Metformin + Empagliflozin,K1:9100L32L2N;K1:HDC1R2M35U,"COMBO:{K1:1ULL0QJ8UC,K1:9100L32L2N};COMBO:{K1:3X29ZEJ4R2,K1:9100L32L2N};COMBO:{K1:9100L32L2N,K1:JHC049LO86};COMBO:{K1:9100L32L2N,K1:QFP0P1DV7Z}"
"COMBO:{K1:9100L32L2N,K1:JHC049LO86}",alogliptin-and-metformin,Alogliptin and Metformin,Metformin + Alogliptin,K1:9100L32L2N;K1:JHC049LO86,"COMBO:{K1:1ULL0QJ8UC,K1:9100L32L2N};COMBO:{K1:3X29ZEJ4R2,K1:9100L32L2N};COMBO:{K1:9100L32L2N,K1:HDC1R2M35U};COMBO:{K1:9100L32L2N,K1:QFP0P1DV7Z}"
"COMBO:{K1:9100L32L2N,K1:QFP0P1DV7Z}",sitagliptin-metformin,"Metformin Hydrochloride, Sitagliptin",Metformin + Sitagliptin,K1:9100L32L2N;K1:QFP0P1DV7Z,"COMBO:{K1:1ULL0QJ8UC,K1:9100L32L2N};COMBO:{K1:3X29ZEJ4R2,K1:9100L32L2N};COMBO:{K1:9100L32L2N,K1:HDC1R2M35U};COMBO:{K1:9100L32L2N,K1:JHC049LO86}"
"COMBO:{K1:DIQ16UC154,K1:F41401512X}",nilotinib-laurylsulfate,NILOTINIB LAURYLSULFATE,Lauryl Sulfate + Nilotinib,K1:DIQ16UC154;K1:F41401512X,"COMBO:{K1:3QN8BYN5QF,K1:DIQ16UC154};COMBO:{K1:DIQ16UC154,K1:HB75CIT999};COMBO:{K1:DIQ16UC154,K1:X78UG0A0RN}"
"COMBO:{K1:DIQ16UC154,K1:HB75CIT999}",erythromycin-estolate-2,ERYTHROMYCIN ESTOLATE,Lauryl Sulfate + Erythromycin Propionate,K1:DIQ16UC154;K1:HB75CIT999,"COMBO:{K1:3QN8BYN5QF,K1:DIQ16UC154};COMBO:{K1:DIQ16UC154,K1:F41401512X};COMBO:{K1:DIQ16UC154,K1:X78UG0A0RN}"
"COMBO:{K1:DIQ16UC154,K1:X78UG0A0RN}",dasatinib-laurylsulfate,DASATINIB LAURYLSULFATE,Lauryl Sulfate + Dasatinib (anhydrous),K1:DIQ16UC154;K1:X78UG0A0RN,"COMBO:{K1:3QN8BYN5QF,K1:DIQ16UC154};COMBO:{K1:DIQ16UC154,K1:F41401512X};COMBO:{K1:DIQ16UC154,K1:HB75CIT999}"
"COMBO:{K1:DKO1W9H7M1,K1:EL9943AG5J,K2:XQSPYNMVSIKCOC-UHFFFAOYSA-N}",dolutegravir-emtricitabine-and-tenofovir-alafenamide,"Dolutegravir, Emtricitabine and Tenofovir Alafenamide","Dolutegravir + Tenofovir alafenamide + EMTRICITABINE, (+/-)-",K1:DKO1W9H7M1;K1:EL9943AG5J;K2:XQSPYNMVSIKCOC-UHFFFAOYSA-N,"COMBO:{K1:2T8Q726O95,K1:DKO1W9H7M1,K1:WR2TIP26VS};COMBO:{K1:2T8Q726O95,K1:DKO1W9H7M1};COMBO:{K1:EL9943AG5J,K1:JE6H2O27P8,K2:XQSPYNMVSIKCOC-UHFFFAOYSA-N};COMBO:{K1:EL9943AG5J,K2:XQSPYNMVSIKCOC-UHFFFAOYSA-N}"
"COMBO:{K1:EL9943AG5J,K1:JE6H2O27P8,K2:XQSPYNMVSIKCOC-UHFFFAOYSA-N}",efavirenz-emtricitabine-and-tenofovir-alafenamide,"Efavirenz, Emtricitabine and Tenofovir Alafenamide","Tenofovir alafenamide + Efavirenz + EMTRICITABINE, (+/-)-",K1:EL9943AG5J;K1:JE6H2O27P8;K2:XQSPYNMVSIKCOC-UHFFFAOYSA-N,"COMBO:{K1:DKO1W9H7M1,K1:EL9943AG5J,K2:XQSPYNMVSIKCOC-UHFFFAOYSA-N};COMBO:{K1:EL9943AG5J,K2:XQSPYNMVSIKCOC-UHFFFAOYSA-N}"
"COMBO:{K1:EL9943AG5J,K2:XQSPYNMVSIKCOC-UHFFFAOYSA-N}",emtricitabine-tenofovir-alafenamide,"Emtricitabine, Tenofovir Alafenamide","Tenofovir alafenamide + EMTRICITABINE, (+/-)-",K1:EL9943AG5J;K2:XQSPYNMVSIKCOC-UHFFFAOYSA-N,"COMBO:{K1:DKO1W9H7M1,K1:EL9943AG5J,K2:XQSPYNMVSIKCOC-UHFFFAOYSA-N};COMBO:{K1:EL9943AG5J,K1:JE6H2O27P8,K2:XQSPYNMVSIKCOC-UHFFFAOYSA-N}"
"COMBO:{K1:FF28EJQ494,K1:GE2UA340FM}",promethazine-teoclate,PROMETHAZINE TEOCLATE,Promethazine + 8-CHLOROTHEOPHYLLINE,K1:FF28EJQ494;K1:GE2UA340FM,"COMBO:{K1:8GTS82S83M,K1:GE2UA340FM}"
"COMBO:{K1:GN5P7K3T8S,K1:S2F83W92TK}",proxifezone,Proxifezone,Phenylbutazone + Dextropropoxyphene,K1:GN5P7K3T8S;K1:S2F83W92TK,"COMBO:{K1:071P4J77HF,K1:GN5P7K3T8S};COMBO:{K1:O9S4K2S25E,K1:S2F83W92TK}"
"COMBO:{K1:J50OIX95QV,K1:NH496X0UJX}",methenamine-mandelate,Methenamine Mandelate,Methenamine + MANDELIC ACID,K1:J50OIX95QV;K1:NH496X0UJX,"COMBO:{K1:J50OIX95QV,K1:TE0865N2ET}"
"COMBO:{K1:J50OIX95QV,K1:TE0865N2ET}",methenamine-hippurate,METHENAMINE HIPPURATE,Methenamine + HIPPURIC ACID,K1:J50OIX95QV;K1:TE0865N2ET,"COMBO:{K1:8G388563M7,K1:TE0865N2ET};COMBO:{K1:J50OIX95QV,K1:NH496X0UJX}"
"COMBO:{K1:K848JZ4886,K1:TE7660XO1C}",ferrous-cysteine-glycinate,Ferrous Cysteine Glycinate,Cysteine + Glycine,K1:K848JZ4886;K1:TE7660XO1C,"COMBO:{K1:0HU2UI27HF,K1:TE7660XO1C};COMBO:{K1:0I55128JYK,K1:TE7660XO1C};COMBO:{K1:2679MF687A,K1:TE7660XO1C}"
"COMBO:{K1:LW2E03M5PG,K1:YO603Y8113}",darunavir-and-cobicistat,Darunavir and Cobicistat,Cobicistat + Darunavir,K1:LW2E03M5PG;K1:YO603Y8113,"COMBO:{K1:6DC9Q167V3,K1:YO603Y8113};COMBO:{K1:O3J8G9O825,K1:YO603Y8113}"
"COMBO:{K1:O3J8G9O825,K1:YO603Y8113}",darunavir-and-ritonavir,Darunavir and Ritonavir,Ritonavir + Darunavir,K1:O3J8G9O825;K1:YO603Y8113,"COMBO:{K1:6DC9Q167V3,K1:YO603Y8113};COMBO:{K1:LW2E03M5PG,K1:YO603Y8113}"
"COMBO:{K1:O9S4K2S25E,K1:S2F83W92TK}",propoxyphene-napsylate,PROPOXYPHENE NAPSYLATE,2-NAPHTHALENESULFONIC Acid + Dextropropoxyphene,K1:O9S4K2S25E;K1:S2F83W92TK,"COMBO:{K1:GN5P7K3T8S,K1:S2F83W92TK};COMBO:{K1:O9S4K2S25E,K1:U75VZ9PK1J}"
"COMBO:{K1:O9S4K2S25E,K1:U75VZ9PK1J}",levopropoxyphene-napsylate,LEVOPROPOXYPHENE NAPSYLATE,2-NAPHTHALENESULFONIC Acid + Levopropoxyphene,K1:O9S4K2S25E;K1:U75VZ9PK1J,"COMBO:{K1:O9S4K2S25E,K1:S2F83W92TK}"
K1:P188ANX8CK#oysk,trastuzumab-and-hyaluronidase-oysk,Trastuzumab and Hyaluronidase-Oysk,Trastuzumab + Hyaluronidase-Oysk,K1:P188ANX8CK;,K1:P188ANX8CK#zzxf
K1:P188ANX8CK#zzxf,pertuzumab-trastuzumab-and-hyaluronidase-zzxf,"Pertuzumab, Trastuzumab, and Hyaluronidase-Zzxf",Pertuzumab + Trastuzumab + Hyaluronidase-Zzxf,K1:K16AIQ8CTM;K1:P188ANX8CK;,K1:P188ANX8CK#oysk
