key,slug,tier,display_name,indexable
K1:U7LV3PFX6R,4-nitrophenyl-beta-d-galactopyranoside,3,4-NITROPHENYL-.BETA.-D-GALACTOPYRANOSIDE,f
K1:U7NOE2K4M2,dichloroisoproterenol,3,DICHLOROISOPROTERENOL,f
K1:U7PA8S6XGJ,veonetinib,3,Veonetinib,f
K1:U7S8ZU4L3M,cetuximab-sarotalocan,3,Cetuximab sarotalocan,f
K1:U863JGG2IA,brivaracetam,2,Brivaracetam,f
K1:U8687J667P,hydroxindasate,3,Hydroxindasate,f
K1:U86ZGC74V5,dimyristoylphosphatidylcholine-dl,3,"DIMYRISTOYLPHOSPHATIDYLCHOLINE, DL-",f
K1:U8736VCB22,letrazuril,3,Letrazuril,f
K1:U87FK77H25,spermidine,1,SPERMIDINE,f
K1:U884AYM4BN,cp-506,3,CP-506,f
K1:U891J4JCNH,salicyloyl-phytosphingosine,2,Salicyloyl Phytosphingosine,f
K1:U89MCO87LX,haletazole,2,Haletazole,f
K1:U8CJK0JH5M,dithranol,2,Dithranol,f
K1:U8EX2DRD73,prodolic-acid,3,Prodolic acid,f
K1:U8G3LS2JEX,2-4-dihydroxycinnamic-acid,3,"2,4-DIHYDROXYCINNAMIC Acid",f
K1:U8I57RC739,ly-518674,3,LY-518674,f
K1:U8I5N8Q01B,baccharis-pilularis-whole,3,Baccharis Pilularis Whole,f
K1:U8J5PLW9MR,phenylacetaldehyde,3,PHENYLACETALDEHYDE,f
K1:U8LYN0Y118,alsevalimab,3,Alsevalimab,f
K1:U8O5LNX3QT,ceratostigma-willmottianum-whole,2,Ceratostigma Willmottianum Whole,f
K1:U8QXS1WU8G,ciglitazone,3,Ciglitazone,f
K1:U8V8239CRM,mecloxamine,3,Mecloxamine,f
K1:U8VS41J5O6,ac-262536,3,AC-262536,f
K1:U8WVJ3501L,bucumolol,3,Bucumolol,f
K1:U93X72ED47,certociclib,3,CERTOCICLIB,f
K1:U942DGM90X,neltenexine,3,Neltenexine,f
K1:U946SH95EE,milk-thistle,2,Milk Thistle,f
K1:U96J5LG435,recoflavone,3,Recoflavone,f
K1:U9855G2ZPR,a-770041,3,A 770041,f
K1:U98D43R3NC,vinglycinate,3,Vinglycinate,f
K1:U993RH5585,tymazoline,3,TYMAZOLINE,f
K1:U9I0PLD4HT,codrituzumab,3,Codrituzumab,f
K1:U9JLP7V031,lebrikizumab,1,Lebrikizumab,f
K1:U9JLP7V031#lbkz,lebrikizumab-lbkz,2,Lebrikizumab-Lbkz,f
K1:U9R24EH050,propetamide,3,Propetamide,f
K1:U9RZF328WH,3-4-sulfamoylphenyl-propanoic-acid,3,3-(4-SULFAMOYLPHENYL)PROPANOIC Acid,f
K1:U9T63BZ3AS,gsk-945237,3,GSK-945237,f
K1:U9VY0ZOK7A,carnitine,1,Carnitine,f
K1:U9YT4RM48N,niceverine,3,Niceverine,f
K1:UA3JNW70T9,geclosporin,3,Geclosporin,f
K1:UA63Y8U89U,bitter-melon,3,Balsam Pear,f
K1:UA6B2TI4MO,glpg-3970,3,GLPG-3970,f
K1:UA6HM01WAK,clidanac,3,Clidanac,f
K1:UA8SE1325T,gimeracil,2,Gimeracil,f
K1:UA96NQU2PH,ad-214,3,AD-214,f
K1:UAZ6V7728S,cinacalcet,2,Cinacalcet,f
K1:UB95H8270H,erbium,2,Erbium ER-169,f
K1:UB9QUR18NL,quinazoline,3,QUINAZOLINE,f
K1:UBI4YB704B,decursinol,3,Decursinol,f
K1:UBW6O1H50I,iva-angustifolia-pollen,3,Iva Angustifolia Pollen,f
K1:UBY79OCO9G,ferric-pyrophosphate-citrate,1,FERRIC PYROPHOSPHATE CITRATE,f
K1:UC0DRK4OE0,brinazarone,3,Brinazarone,f
K1:UC2FX6YY3P,izalontamab-brengitecan,3,Izalontamab brengitecan,f
K1:UC47AV3PU8,inotuzumab,2,INOTUZUMAB,f
K1:UC61HM8FX0,pargeverine,3,Pargeverine,f
K1:UC6I41G62N,aclatonium,3,ACLATONIUM,f
K1:UC6VBE7V1Z,methadone,2,Methadone,f
K1:UC96G28EQF,enzastaurin,3,Enzastaurin,f
K1:UCA53G94EV,n-cyclohexyl-2-benzothiazosulfenamide,3,N-CYCLOHEXYL-2-BENZOTHIAZOSULFENAMIDE,f
K1:UCE6F4125H,vardenafil,2,Vardenafil,f
K1:UCG949AA7Z,adagloxad-simolenin,3,ADAGLOXAD SIMOLENIN,f
K1:UCH3QQH1C0,rgls-4326,3,RGLS-4326,f
K1:UCN889409V,aluminum-sesquichlorohydrate,2,Aluminum Sesquichlorohydrate,f
K1:UD4O8TY7RW,digitalis-purpurea-whole,2,Digitalis Purpurea Whole,f
K1:UD50RBY30F,blond-psyllium,3,Blond Psyllium,f
K1:UD8PEV6JBD,nicaraven,3,Nicaraven,f
K1:UD9V5S9M7A,zopocianine,3,Zopocianine,f
K1:UDA30A2JJY,hamamelis-virginiana-top,3,Hamamelis Virginiana Top,f
K1:UDM7Q7QWP8,benazepril-2,2,Benazepril,f
K1:UDX6WPL94T,gondoic-acid,3,Gondoic Acid,f
K1:UDX9AKS7GM,arsanilic-acid,2,ARSANILIC ACID,f
K1:UE1ZOP7MLZ,4-thiazolecarboxylic-acid,3,4-THIAZOLECARBOXYLIC Acid,f
K1:UE5K2FNS92,orteronel,3,Orteronel,f
K1:UE77B10IIY,bos-taurus-cartilage,3,Bos Taurus Cartilage,f
K1:UE81S5CQ0G,dipicolinic-acid,3,DIPICOLINIC ACID,f
K1:UE856F2T78,chondrus-crispus-carrageenan,2,Chondrus Crispus Carrageenan,f
K1:UEC0H0URSE,patupilone,3,Patupilone,f
K1:UEJ4E476ZP,sprifermin,3,Sprifermin,f
K1:UEO8UW9V1Z,etozolin,3,Etozolin,f
K1:UF17KA8AC5,tosylchloramide,2,Tosylchloramide,f
K1:UF1EL37E41,onvitrelin-ucalontide,3,Onvitrelin ucalontide,f
K1:UF2093XE64,lawsonia-inermis-flowering-top,3,Lawsonia Inermis Flowering Top,f
K1:UF599785JZ,fentanyl,1,Fentanyl,t
K1:UF5FV8MLZ2,aguracingene-cadoparvovec,3,Aguracingene cadoparvovec,f
K1:UFB8CT84JS,sar-566658,3,SAR-566658,f
K1:UFD2LZ005D,ethyl-butyrate,3,Ethyl Butyrate,f
K1:UFE666UELY,icaritin,3,ICARITIN,f
K1:UFH8805FKA,st-johns-wort,1,St John's wort,t
K1:UFN2Q54HS6,setipafant,3,Setipafant,f
K1:UG5KU6AQ0Z,pi-0824,3,PI-0824,f
K1:UG7PAX5TS3,pf-05150122,3,PF-05150122,f
K1:UG8K2LT79Y,4-phenylbutylamine,3,4-PHENYLBUTYLAMINE,f
K1:UG97LO5M8Y,tesetaxel,3,Tesetaxel,f
K1:UG9H2002BF,dolomite,3,Dolomite,f
K1:UGA95385P3,afm-11,3,AFM-11,f
K1:UGE0WQC19W,bos-taurus-lymph,3,Bos Taurus Lymph,f
K1:UGI01OSA4N,mp-0250,3,MP-0250,f
K1:UGM0326TXX,levomilnacipran,2,Levomilnacipran,f
K1:UGX2V7MGMZ,larsucosterol,3,Larsucosterol,f
K1:UH32L7RML6,ly-2599666,3,LY-2599666,f
K1:UH95VD7V76,oxacillin,2,Oxacillin,f
K1:UHN43WS7FF,4-methylsulfonamido-benzoic-acid,3,4-(METHYLSULFONAMIDO)BENZOIC Acid,f
K1:UHN5PKM648,navlimetostat,3,Navlimetostat,f
K1:UHV4C5JZ3C,3-chloro-2-2-dimethyl-n-4-trifluoromethyl-phenyl-propanamide,3,"3-CHLORO-2,2-DIMETHYL-N-(4-(TRIFLUOROMETHYL)PHENYL)PROPANAMIDE",f
K1:UI1U1MYH09,darapladib,3,Darapladib,f
K1:UI82K0T627,lofexidine,2,Lofexidine,f
K1:UIF43N1HSV,barmastine,3,Barmastine,f
K1:UII7156WLU,ingliforib,3,Ingliforib,f
K1:UIN4PYP84R,diperodon,3,Diperodon,f
K1:UIQ69AB4DJ,5-chloro-2-pyridinyl-amino-methylene-1-1-bisphosphonate,3,"(((5-CHLORO-2-PYRIDINYL)AMINO) METHYLENE)-1,1-BISPHOSPHONATE",f
K1:UJ0ZJ76DO9,gusperimus,3,Gusperimus,f
K1:UJ1O5LVT0G,razinodil,3,Razinodil,f
K1:UJ8NQ5Z0VX,peforelin,2,Peforelin,f
K1:UJO03RO3K6,timolumab,3,Timolumab,f
K1:UJR3SD8NLS,tizetatug-rezetecan,3,Tizetatug rezetecan,f
K1:UJV8K21YKL,thiamine-disulfide,3,Thiamine Disulfide,f
K1:UJZ473TPS0,phenprobamate,3,Phenprobamate,f
K1:UK27RQ38IX,diathymosulfone,3,Diathymosulfone,f
K1:UK3LS8435E,cymarin,3,CYMARIN,f
K1:UK4C618C8T,broxyquinoline,1,Broxyquinoline,f
K1:UK4JEM5WVX,pbt-434,3,PBT-434,f
K1:UK5SR22C8Q,glicaramide,3,Glicaramide,f
K1:UK6392GD5W,oxycinchophen,3,Oxycinchophen,f
K1:UK749B4S16,osivelotor,3,Osivelotor,f
K1:UK9AK2IN1P,nvx-cov2373,3,NVX-COV2373,f
K1:UKI9MLD5OI,dom,3,DOM,f
K1:UKJ8GGS7PP,yct-529,3,YCT-529,f
K1:UKU5U19W9M,flunoxaprofen,3,Flunoxaprofen,f
K1:UL09X1D9EM,pruvanserin,3,Pruvanserin,f
K1:UL1984YRKA,guanidinopropionic-acid,1,Ompenaclid,f
K1:UL947A614K,cicortonide,3,Cicortonide,f
