old_slug,target_drug_id,reason
larrea-tridentata-top,larrea-tridentata-leaf,MERGED
lavandula-angustifolia-flower,lavandula-angustifolia-subsp-angustifolia-flower,MERGED
lavandula-angustifolia-oil,lavender-oil,MERGED
l-carnitine,levocarnitine,MERGED
l-dopa,levodopa,MERGED
lemna-minor-whole,lemna-minor,MERGED
leonurus-cardiaca-whole,leonurus-cardiaca,MERGED
lespedeza-capitata,lespedeza-capitata-flowering-top,MERGED
lesser-galangal-root,lesser-galangal,MERGED
levoketoconazole,ketoconazole,MERGED
levoleucovorin,leucovorin,MERGED
levomefolate-glucosamine,levomefolate,MERGED
levomefolic-acid,levomefolate,MERGED
levomenol,bisabolol,MERGED
l-gluthathione,gluthathione,MERGED
lichen-oil,lichen,MERGED
lidocaine-hcl,lidocaine,MERGED
ligusticum-sinense-subsp-chuanxiong-root,cnidium,MERGED
ligustrum-fruit,ligustrum-lucidum-fruit,MERGED
lily-of-the-valley,convallaria-majalis,MERGED
limosilactobacillus-reuteri,lactobacillus-reuteri,MERGED
linolenic-acid,alpha-linolenic-acid,MERGED
liotrix,levothyroxine,MERGED
lipoic-acid,thioctic-acid,MERGED
lithium-citrate,lithium,MERGED
l-leucine,leucine,MERGED
lobelia-inflata-whole,lobelia-inflata,MERGED
lolium-perenne-top,perennial-ryegrass,MERGED
lolium-pratense-pollen,festuca-pratensis-pollen,MERGED
lomatium,lomatium-dissectum-root,MERGED
l-tryptophan,tryptophan,MERGED
l-tyrosine,tyrosine,MERGED
luffa-acutangula-fruit,luffa,MERGED
lungwort,lobaria-pulmonaria,MERGED
lutein-zeaxanthin,lutein,MERGED
lutetium-lu-177-dotatate,lutetium-oxodotreotide-lu-177,MERGED
lycopodium-clavatum-spore,lycopodium,MERGED
lycopus-virginicus,lycopus-virginicus-whole,MERGED
lysimachia-arvensis-whole,anagallis-arvensis,MERGED
macadamia-ternifolia-seed-oil,macadamia-nut-oil,MERGED
macropiper-methysticum-root,piper-methysticum-root,MERGED
magnesium-alpha-ketoglutarate,calcium-alpha-ketoglutarate,MERGED
magnesium-ascorbate,sodium-ascorbate,MERGED
magnesium-creatine,creatine-monohydrate,MERGED
magnesium-glycinate,glycine,MERGED
magnesium-orotate,orotic-acid,MERGED
magnesium-oxybate,calcium-oxybate,MERGED
mahonia-aquifolium-whole,berberis-aquifolium-whole,MERGED
ma-huang,ephedra,MERGED
maize,corn,MERGED
malus-pumila-flower,malus-domestica-flower,MERGED
malus-pumila-whole,malus-domestica-whole,MERGED
mandarin-orange,tangerine,MERGED
manganese-ascorbate,sodium-ascorbate,MERGED
maral-root,leuzea-carthamoides-root,MERGED
marijuana,cannabis,MERGED
maritime-pine,pycnogenol,MERGED
marrubium-vulgare-whole,marrubium-vulgare,MERGED
matricaria-chamomilla,matricaria-recutita,MERGED
matricaria-chamomilla-whole,matricaria-recutita,MERGED
matricaria-recutita-flowering-top,matricaria-chamomilla-flowering-top,MERGED
mcpa,sodium-acetate,MERGED
mebrofenin,technetium-tc-99m-mebrofenin-kit,MERGED
mecasermin-recombinant,mecasermin,MERGED
medicago-sativa-whole,alfalfa,MERGED
medronic-acid,technetium-tc-99m-medronate,MERGED
meglumine-metrizoate,calcium-metrizoate,MERGED
melaleuca-alternifolia-leaf,tea-tree,MERGED
melaleuca-alternifolia-leaf-oil,tea-tree-oil,MERGED
