old_slug,new_slug,reason
methylsynephrine,oxilofrine,MERGED into K2:OXFGTKPPFSCSMA-UHFFFAOYSA-N by identity pass 3.2
mirikizumab-mrkz,mirikizumab,MERGED into K1:Z7HVY03PHP by the adjudicated identity decisions (3.4)
mirvetuximab-soravtansine-gynx,mirvetuximab-soravtansine,MERGED into K1:98DE7VN88D by the adjudicated identity decisions (3.4)
mogamulizumab-kpkc,mogamulizumab,MERGED into K1:YI437801BE by the adjudicated identity decisions (3.4)
mosunetuzumab-axgb,mosunetuzumab,MERGED into K1:LDJ89SS0YG by the adjudicated identity decisions (3.4)
moxetumomab-pasudotox-tdfk,moxetumomab-pasudotox,MERGED into K1:2NDX4B6N8F by the adjudicated identity decisions (3.4)
nafarelin-2,nafarelin,MERGED into HOLD:existing:nafarelin by identity pass 3.2
narsoplimab-wuug,narsoplimab,MERGED into K1:FT24ZQQ5RP by the adjudicated identity decisions (3.4)
naxitamab-gqgk,naxitamab,MERGED into K1:9K8GNJ2874 by the adjudicated identity decisions (3.4)
nemolizumab-ilto,nemolizumab,MERGED into K1:GN465U8B72 by the adjudicated identity decisions (3.4)
neuropeptide-y-2,neuropeptide-y,MERGED into K1:BY7U39XXK0 by identity pass 3.2
nipocalimab-aahu,nipocalimab,MERGED into K1:87M90CV8NC by the adjudicated identity decisions (3.4)
nirsevimab-alip,nirsevimab,MERGED into K1:VRN8S9CW5V by the adjudicated identity decisions (3.4)
nogapendekin-alfa-inbakicept-pmln,nogapendekin-alfa-inbakicept,MERGED into K1:7TK323DLA0 by the adjudicated identity decisions (3.4)
nonoxinol-9,nonoxynol-9,MERGED into K1:48Q180SH9T by identity pass 3.2
olipudase-alfa-rpcp,olipudase-alfa,MERGED into K1:6D5766Q4OP by the adjudicated identity decisions (3.4)
oxytocin-2,oxytocin,MERGED into K1:1JQS135EYN by identity pass 3.2
pegunigalsidase-alfa-iwxj,pegunigalsidase-alfa,MERGED into K1:8M7V7Q6537 by the adjudicated identity decisions (3.4)
pegvaliase-pqpz,pegvaliase,MERGED into K1:N6UAH27EUV by the adjudicated identity decisions (3.4)
pegzilarginase-nbln,pegzilarginase,MERGED into K1:4YV4KW88GD by the adjudicated identity decisions (3.4)
penpulimab-kcqx,penpulimab,MERGED into K1:IBS1BZ4E4I by the adjudicated identity decisions (3.4)
permethrin-2,permethrin,MERGED into K1:509F88P9SZ by identity pass 3.2
phenmetrazine-2,phenmetrazine,MERGED into HOLD:existing:phenmetrazine by identity pass 3.2
phosphatidylcholine,egg-phospholipids,MERGED into K1:1Z74184RGV by identity pass 3.2
pivekimab-sunirine-pvzy,pivekimab-sunirine,MERGED into K1:L15LO3W1XX by the adjudicated identity decisions (3.4)
plecanatide-2,plecanatide,MERGED into K1:7IK8Z952OK by identity pass 3.2
plicamycin-3,plicamycin,MERGED: K2:XDKMHMINQXATOR-RCFLUEAHSA-N adopted the unnumbered slug of a page it absorbed
polatuzumab-vedotin-piiq,polatuzumab-vedotin,MERGED into K1:KG6VO684Z6 by the adjudicated identity decisions (3.4)
potassium-aspartate-2,potassium-aspartate,MERGED into K1:30KYC7MIAI by identity pass 3.2
potassium-citrate,potassium-citrate-anhydrous,MERGED into K1:86R1NVR0HW by the adjudicated identity decisions (3.4)
potassium-lactate,lactic-acid-dl,MERGED into K1:3B8D35Y7S4 by identity pass 3.2
potassium-tartrate,tartaric-acid-2,MERGED into K1:W4888I119H by identity pass 3.2
pozelimab-bbfg,pozelimab,MERGED into K1:0JJ21K6L2I by the adjudicated identity decisions (3.4)
ravulizumab-cwvz,ravulizumab,MERGED into K1:C3VX249T6L by the adjudicated identity decisions (3.4)
retifanlimab-dlwr,retifanlimab,MERGED into K1:2Y3T5IF01Z by the adjudicated identity decisions (3.4)
rhamphospermum-arvense-flowering-fruiting-top,sinapis-arvensis-flowering-fruiting-top,MERGED into COMBO:NAME:sinapis arvensis flowering fruiting top by identity pass 3.2
risankizumab-rzaa,risankizumab,MERGED into K1:90ZX3Q3FR7 by the adjudicated identity decisions (3.4)
romosozumab-aqqg,romosozumab,MERGED into K1:3VHF2ZD92J by the adjudicated identity decisions (3.4)
rozanolixizumab-noli,rozanolixizumab,MERGED into K1:P7186074QC by the adjudicated identity decisions (3.4)
sacituzumab-govitecan-hziy,sacituzumab-govitecan,MERGED into K1:M9BYU8XDQ6 by the adjudicated identity decisions (3.4)
sennoside-a-b,sennoside,MERGED into K1:9VK7V8762D by identity pass 3.2
sibeprenlimab-szsi,sibeprenlimab,MERGED into K1:GHX28QZ7DD by the adjudicated identity decisions (3.4)
silibinin,silybin,MERGED into K1:4RKY41TBTF by identity pass 3.2
sodium-citrate,anhydrous-citric-acid,MERGED into K1:XF417D3PSL by the adjudicated identity decisions (3.4)
sodium-heparin,heparin-sodium,MERGED into K1:ZZ45AB24CA by identity pass 3.2
sodium-hyaluronate,hyaluronate,MERGED into K1:S270N0TRQY by identity pass 3.2
sodium-phenylacetate-2,phenylacetic-acid,MERGED into K1:ER5I1W795A by identity pass 3.2
sodium-succinate,monosodium-succinate,MERGED into K1:P699N4QOWE by the adjudicated identity decisions (3.4)
sodium-tartrate,tartaric-acid-2,MERGED into K1:W4888I119H by identity pass 3.2
somapacitan-beco,somapacitan,MERGED into K2:NAKSIOUBFDBTSW-ITMZJIMRSA-N by the adjudicated identity decisions (3.4)
somatrogon-ghla,somatrogon,MERGED into K1:6D848RA61B by the adjudicated identity decisions (3.4)
sotatercept-csrk,sotatercept,MERGED into K1:0QI90BTJ37 by the adjudicated identity decisions (3.4)
spesolimab-sbzo,spesolimab,MERGED into K1:5IB2J79MCX by the adjudicated identity decisions (3.4)
sutimlimab-jome,sutimlimab,MERGED into K1:GNWE7KJ995 by the adjudicated identity decisions (3.4)
tafasitamab-cxix,tafasitamab,MERGED into K1:QQA9MLH692 by the adjudicated identity decisions (3.4)
tagraxofusp-erzs,tagraxofusp,MERGED into K1:8ZHS5657EH by the adjudicated identity decisions (3.4)
talquetamab-tgvs,talquetamab,MERGED into K1:4W3KFI3TN3 by the adjudicated identity decisions (3.4)
tannic-acid-2,tannic-acid,MERGED into K1:2711I21VE5 by identity pass 3.2
tarlatamab-dlle,tarlatamab,MERGED into K1:74X82ST8Q1 by the adjudicated identity decisions (3.4)
tebentafusp-tebn,tebentafusp,MERGED into K1:N658GY6L3E by the adjudicated identity decisions (3.4)
teclistamab-cqyv,teclistamab,MERGED into K1:54534MX6Z9 by the adjudicated identity decisions (3.4)
teduglutide-2,teduglutide,MERGED into K1:7M19191IKG by identity pass 3.2
telisotuzumab-vedotin-tllv,telisotuzumab-vedotin,MERGED into K1:976X9VXC3Z by the adjudicated identity decisions (3.4)
teplizumab-mzwv,teplizumab,MERGED into K1:S4M959U2IJ by the adjudicated identity decisions (3.4)
teprotumumab-trbw,teprotumumab,MERGED into K1:Y64GQ0KC0A by the adjudicated identity decisions (3.4)
terlipressin-2,terlipressin,MERGED into K1:7Z5X49W53P by identity pass 3.2
tetracosactide,cosyntropin,MERGED into K1:72YY86EA29 by identity pass 3.2
tezepelumab-ekko,tezepelumab,MERGED into K1:RJ1IW3B4QX by the adjudicated identity decisions (3.4)
tildrakizumab-asmn,tildrakizumab,MERGED into K1:DEW6X41BEK by the adjudicated identity decisions (3.4)
tislelizumab-jsgr,tislelizumab,MERGED into K1:0KVO411B3N by the adjudicated identity decisions (3.4)
tisotumab-vedotin-tftv,tisotumab-vedotin,MERGED into K1:T41737F88A by the adjudicated identity decisions (3.4)
tividenofusp-alfa-eknm,tividenofusp-alfa,MERGED into K1:QLD7UJN8CF by the adjudicated identity decisions (3.4)
toripalimab-tpzi,toripalimab,MERGED into K1:8JXN261VVA by the adjudicated identity decisions (3.4)
tremelimumab-actl,tremelimumab,MERGED into K1:QEN1X95CIX by the adjudicated identity decisions (3.4)
troglitazone-2,troglitazone,MERGED into K1:I66ZZ0ZN0E by identity pass 3.2
ublituximab-xiiy,ublituximab,MERGED into K1:U59UGK3IPC by the adjudicated identity decisions (3.4)
vasopressin-injection,vasopressin,MERGED into K1:Y4907O6MFD by identity pass 3.2
veligrotug-vvze,veligrotug,MERGED into K1:Z9U2SS9ZC8 by the adjudicated identity decisions (3.4)
velmanase-alfa-tycv,velmanase-alfa,MERGED into K1:M91TG242P2 by the adjudicated identity decisions (3.4)
vestronidase-alfa-vjbk,vestronidase-alfa,MERGED into K1:7XZ4062R17 by the adjudicated identity decisions (3.4)
voxilaprevir-3,voxilaprevir,MERGED: K2:MKDALIOACIEUJM-XCFCBFDASA-N adopted the unnumbered slug of a page it absorbed
zanidatamab-hrii,zanidatamab,MERGED into K1:Z20OC92TDI by the adjudicated identity decisions (3.4)
zenocutuzumab-zbco,zenocutuzumab,MERGED into K1:AE72RB1W1X by the adjudicated identity decisions (3.4)
ziconotide-2,ziconotide,MERGED into K1:7I64C51O16 by identity pass 3.2
zolbetuximab-clzb,zolbetuximab,MERGED into K1:TF5MPQ8WGY by the adjudicated identity decisions (3.4)
